E230  (9.96%)
    1.000000      0.4912791E-19
   0.9969241     -0.1611437E-03
   0.9928913     -0.3482718E-03
   0.9883696     -0.5210692E-03
   0.9834425     -0.6579164E-03
   0.9781636     -0.7446431E-03
   0.9725872     -0.7758795E-03
   0.9667786     -0.7505560E-03
   0.9607947     -0.6695052E-03
   0.9546846     -0.5338396E-03
   0.9484861     -0.3463345E-03
   0.9422185     -0.1105839E-03
   0.9358843      0.1698522E-03
   0.9294842      0.4912349E-03
   0.9230215      0.8493490E-03
   0.9165024      0.1239419E-02
   0.9099365      0.1656815E-02
   0.9033338      0.2098760E-02
   0.8967031      0.2562778E-02
   0.8900515      0.3046356E-02
   0.8833839      0.3547008E-02
   0.8767035      0.4062559E-02
   0.8700120      0.4591867E-02
   0.8633105      0.5134068E-02
   0.8566000      0.5688318E-02
   0.8498806      0.6253799E-02
   0.8431522      0.6829727E-02
   0.8364142      0.7415320E-02
   0.8296661      0.8009735E-02
   0.8229078      0.8612086E-02
   0.8161395      0.9221443E-02
   0.8093620      0.9836831E-02
   0.8025761      0.1045723E-01
   0.7957834      0.1108171E-01
   0.7889853      0.1170979E-01
   0.7821833      0.1234107E-01
   0.7753784      0.1297518E-01
   0.7685716      0.1361176E-01
   0.7617634      0.1425047E-01
   0.7549543      0.1489099E-01
   0.7481446      0.1553293E-01
   0.7413344      0.1617580E-01
   0.7345239      0.1681912E-01
   0.7277135      0.1746240E-01
   0.7209034      0.1810515E-01
   0.7140940      0.1874686E-01
   0.7072855      0.1938704E-01
   0.7004783      0.2002532E-01
   0.6936728      0.2066142E-01
   0.6868692      0.2129509E-01
   0.6800679      0.2192608E-01
   0.6732691      0.2255415E-01
   0.6664730      0.2317904E-01
   0.6596797      0.2380053E-01
   0.6528893      0.2441837E-01
   0.6461019      0.2503227E-01
   0.6393174      0.2564195E-01
   0.6325359      0.2624716E-01
   0.6257570      0.2684761E-01
   0.6189807      0.2744305E-01
   0.6122067      0.2803324E-01
   0.6054345      0.2861792E-01
   0.5986640      0.2919693E-01
   0.5918948      0.2977016E-01
   0.5851267      0.3033748E-01
   0.5783597      0.3089876E-01
   0.5715937      0.3145385E-01
   0.5648287      0.3200261E-01
   0.5580650      0.3254489E-01
   0.5513027      0.3308050E-01
   0.5445421      0.3360922E-01
   0.5377833      0.3413081E-01
   0.5310265      0.3464502E-01
   0.5242719      0.3515163E-01
   0.5175194      0.3565041E-01
   0.5107692      0.3614113E-01
   0.5040211      0.3662357E-01
   0.4972751      0.3709751E-01
   0.4905312      0.3756271E-01
   0.4837893      0.3801894E-01
   0.4770496      0.3846595E-01
   0.4703119      0.3890351E-01
   0.4635764      0.3933137E-01
   0.4568432      0.3974930E-01
   0.4501125      0.4015704E-01
   0.4433842      0.4055434E-01
   0.4366586      0.4094090E-01
   0.4299357      0.4131645E-01
   0.4232155      0.4168071E-01
   0.4164980      0.4203341E-01
   0.4097831      0.4237427E-01
   0.4030707      0.4270304E-01
   0.3963606      0.4301944E-01
   0.3896528      0.4332321E-01
   0.3829471      0.4361408E-01
   0.3762439      0.4389177E-01
   0.3695432      0.4415601E-01
   0.3628454      0.4440651E-01
   0.3561511      0.4464300E-01
   0.3494607      0.4486519E-01
   0.3427749      0.4507266E-01
   0.3360941      0.4526490E-01
   0.3294188      0.4544141E-01
   0.3227492      0.4560171E-01
   0.3160851      0.4574531E-01
   0.3094267      0.4587174E-01
   0.3027735      0.4598053E-01
   0.2961254      0.4607123E-01
   0.2894821      0.4614341E-01
   0.2828436      0.4619665E-01
   0.2762101      0.4623051E-01
   0.2695820      0.4624457E-01
   0.2629599      0.4623841E-01
   0.2563446      0.4621161E-01
   0.2497369      0.4616353E-01
   0.2431379      0.4609338E-01
   0.2365484      0.4600035E-01
   0.2299694      0.4588367E-01
   0.2234019      0.4574260E-01
   0.2168467      0.4557640E-01
   0.2103048      0.4538431E-01
   0.2037770      0.4516535E-01
   0.1972638      0.4491853E-01
   0.1907654      0.4464287E-01
   0.1842818      0.4433738E-01
   0.1778125      0.4400107E-01
   0.1713571      0.4363288E-01
   0.1649157      0.4323160E-01
   0.1584896      0.4279604E-01
   0.1520821      0.4232518E-01
   0.1456976      0.4181822E-01
   0.1393418      0.4127456E-01
   0.1330217      0.4069340E-01
   0.1267423      0.4007295E-01
   0.1205058      0.3941114E-01
   0.1143113      0.3870572E-01
   0.1081550      0.3795412E-01
   0.1020313      0.3715326E-01
   0.9594028E-01  0.3629982E-01
   0.8989517E-01  0.3539233E-01
   0.8392175E-01  0.3443204E-01
