Bergey BW-3  (smoothed)
   0.7405153E-02 -0.1216159E-01
   0.8426071E-02 -0.1270948E-01
   0.9521978E-02 -0.1321797E-01
   0.1069658E-01 -0.1368851E-01
   0.1195320E-01 -0.1412272E-01
   0.1329394E-01 -0.1452264E-01
   0.1471981E-01 -0.1489034E-01
   0.1623672E-01 -0.1522480E-01
   0.1785314E-01 -0.1552414E-01
   0.1957810E-01 -0.1578705E-01
   0.2142106E-01 -0.1601319E-01
   0.2339168E-01 -0.1620377E-01
   0.2549945E-01 -0.1636213E-01
   0.2775436E-01 -0.1648752E-01
   0.3016637E-01 -0.1657324E-01
   0.3274376E-01 -0.1661150E-01
   0.3549224E-01 -0.1659384E-01
   0.3841460E-01 -0.1651151E-01
   0.4151113E-01 -0.1635502E-01
   0.4477965E-01 -0.1611247E-01
   0.4821600E-01 -0.1577102E-01
   0.5181697E-01 -0.1531694E-01
   0.5558541E-01 -0.1473453E-01
   0.5953754E-01 -0.1400782E-01
   0.6370065E-01 -0.1312572E-01
   0.6810539E-01 -0.1207781E-01
   0.7278315E-01 -0.1085531E-01
   0.7776138E-01 -0.9454254E-02
   0.8305982E-01 -0.7878512E-02
   0.8867995E-01 -0.6146934E-02
   0.9458768E-01 -0.4302516E-02
   0.1006986     -0.2413923E-02
   0.1068964     -0.5431071E-03
   0.1130968      0.1268974E-02
   0.1192728      0.3000698E-02
   0.1254531      0.4649100E-02
   0.1316868      0.6228598E-02
   0.1380103      0.7752779E-02
   0.1444428      0.9229926E-02
   0.1509832      0.1066343E-01
   0.1576151      0.1205219E-01
   0.1643199      0.1339462E-01
   0.1710806      0.1469026E-01
   0.1778828      0.1593976E-01
   0.1847153      0.1714290E-01
   0.1915710      0.1829808E-01
   0.1984469      0.1940440E-01
   0.2053440      0.2046163E-01
   0.2122674      0.2147047E-01
   0.2192236      0.2243329E-01
   0.2262175      0.2335260E-01
   0.2332527      0.2423060E-01
   0.2403313      0.2506927E-01
   0.2474534      0.2587051E-01
   0.2546184      0.2663629E-01
   0.2618242      0.2736855E-01
   0.2690677      0.2806924E-01
   0.2763442      0.2874022E-01
   0.2836489      0.2938239E-01
   0.2909772      0.2999626E-01
   0.2983253      0.3058244E-01
   0.3056905      0.3114172E-01
   0.3130707      0.3167488E-01
   0.3204643      0.3218243E-01
   0.3278701      0.3266480E-01
   0.3352870      0.3312245E-01
   0.3427138      0.3355588E-01
   0.3501497      0.3396552E-01
   0.3575935      0.3435159E-01
   0.3650433      0.3471427E-01
   0.3724966      0.3505372E-01
   0.3799504      0.3537011E-01
   0.3874009      0.3566333E-01
   0.3948448      0.3593256E-01
   0.4022794      0.3617692E-01
   0.4097028      0.3639562E-01
   0.4171137      0.3658788E-01
   0.4245117      0.3675298E-01
   0.4318970      0.3689015E-01
   0.4392705      0.3699862E-01
   0.4466336      0.3707764E-01
   0.4539886      0.3712642E-01
   0.4613382      0.3714432E-01
   0.4686854      0.3713135E-01
   0.4760331      0.3708769E-01
   0.4833840      0.3701346E-01
   0.4907406      0.3690874E-01
   0.4981053      0.3677364E-01
   0.5054805      0.3660879E-01
   0.5128682      0.3641508E-01
   0.5202704      0.3619338E-01
   0.5276891      0.3594455E-01
   0.5351258      0.3566947E-01
   0.5425822      0.3536925E-01
   0.5500592      0.3504522E-01
   0.5575570      0.3469877E-01
   0.5650754      0.3433136E-01
   0.5726133      0.3394449E-01
   0.5801688      0.3353945E-01
   0.5877401      0.3311724E-01
   0.5953247      0.3267889E-01
   0.6029203      0.3222546E-01
   0.6105243      0.3175806E-01
   0.6181339      0.3127742E-01
   0.6257463      0.3078375E-01
   0.6333595      0.3027721E-01
   0.6409713      0.2975794E-01
   0.6485801      0.2922610E-01
   0.6561847      0.2868163E-01
   0.6637840      0.2812423E-01
   0.6713776      0.2755354E-01
   0.6789652      0.2696919E-01
   0.6865471      0.2637078E-01
   0.6941239      0.2575798E-01
   0.7016965      0.2513057E-01
   0.7092661      0.2448829E-01
   0.7168340      0.2383088E-01
   0.7244021      0.2315803E-01
   0.7319722      0.2246972E-01
   0.7395460      0.2176620E-01
   0.7471249      0.2104777E-01
   0.7547100      0.2031475E-01
   0.7623018      0.1956751E-01
