S1221  w/o flap
   0.3003860E-02 -0.7645754E-02
   0.3730936E-02 -0.8249743E-02
   0.4544355E-02 -0.8805120E-02
   0.5440889E-02 -0.9318713E-02
   0.6415680E-02 -0.9798652E-02
   0.7461197E-02 -0.1025497E-01
   0.8565830E-02 -0.1070029E-01
   0.9719690E-02 -0.1114482E-01
   0.1092480E-01 -0.1158910E-01
   0.1218520E-01 -0.1203238E-01
   0.1350560E-01 -0.1247396E-01
   0.1489158E-01 -0.1291330E-01
   0.1635014E-01 -0.1335009E-01
   0.1789037E-01 -0.1378448E-01
   0.1952350E-01 -0.1421709E-01
   0.2126030E-01 -0.1464859E-01
   0.2311252E-01 -0.1507982E-01
   0.2509335E-01 -0.1551192E-01
   0.2721714E-01 -0.1594642E-01
   0.2949881E-01 -0.1638538E-01
   0.3195267E-01 -0.1683134E-01
   0.3459470E-01 -0.1728484E-01
   0.3744341E-01 -0.1774464E-01
   0.4051735E-01 -0.1820907E-01
   0.4383346E-01 -0.1867595E-01
   0.4740928E-01 -0.1914320E-01
   0.5126641E-01 -0.1960888E-01
   0.5542590E-01 -0.2007047E-01
   0.5990315E-01 -0.2052503E-01
   0.6470420E-01 -0.2096959E-01
   0.6982378E-01 -0.2140037E-01
   0.7524506E-01 -0.2181066E-01
   0.8094103E-01 -0.2219352E-01
   0.8688214E-01 -0.2254323E-01
   0.9304417E-01 -0.2285570E-01
   0.9940190E-01 -0.2312799E-01
   0.1059254     -0.2335827E-01
   0.1125826     -0.2354583E-01
   0.1193428     -0.2368923E-01
   0.1261792     -0.2378693E-01
   0.1330714     -0.2383815E-01
   0.1400069     -0.2384261E-01
   0.1469747     -0.2379995E-01
   0.1539593     -0.2371010E-01
   0.1609395     -0.2357356E-01
   0.1678899     -0.2338995E-01
   0.1747920     -0.2315443E-01
   0.1816426     -0.2286122E-01
   0.1884532     -0.2250408E-01
   0.1952483     -0.2207676E-01
   0.2020588     -0.2157905E-01
   0.2089122     -0.2101288E-01
   0.2158315     -0.2037974E-01
   0.2228356     -0.1968102E-01
   0.2299392     -0.1891961E-01
   0.2371523     -0.1810112E-01
   0.2444778     -0.1723278E-01
   0.2519103     -0.1632375E-01
   0.2594337     -0.1538484E-01
   0.2670250     -0.1442287E-01
   0.2746641     -0.1344170E-01
   0.2823365     -0.1244461E-01
   0.2900348     -0.1143410E-01
   0.2977581     -0.1041192E-01
   0.3055077     -0.9379884E-02
   0.3132822     -0.8340204E-02
   0.3210774     -0.7295553E-02
   0.3288857     -0.6249051E-02
   0.3366972     -0.5203957E-02
   0.3445026     -0.4162914E-02
   0.3522956     -0.3128069E-02
   0.3600729     -0.2101134E-02
   0.3678346     -0.1083392E-02
   0.3755832     -0.7560882E-04
   0.3833216      0.9219834E-03
   0.3910519      0.1909089E-02
   0.3987747      0.2885255E-02
   0.4064897      0.3849883E-02
   0.4141952      0.4802212E-02
   0.4218892      0.5741202E-02
   0.4295705      0.6665807E-02
   0.4372392      0.7575122E-02
   0.4448962      0.8468371E-02
   0.4525435      0.9344900E-02
   0.4601837      0.1020432E-01
   0.4678194      0.1104661E-01
   0.4754517      0.1187171E-01
   0.4830809      0.1267941E-01
   0.4907060      0.1346938E-01
   0.4983252      0.1424120E-01
   0.5059357      0.1499417E-01
   0.5135360      0.1572747E-01
   0.5211260      0.1644039E-01
   0.5287072      0.1713241E-01
   0.5362825      0.1780309E-01
   0.5438563      0.1845214E-01
   0.5514334      0.1907974E-01
   0.5590161      0.1968621E-01
   0.5666042      0.2027164E-01
   0.5741944      0.2083591E-01
   0.5817808      0.2137873E-01
   0.5893547      0.2189958E-01
   0.5969080      0.2239690E-01
   0.6044393      0.2286901E-01
   0.6119539      0.2331469E-01
   0.6194639      0.2373303E-01
   0.6269886      0.2412330E-01
   0.6345539      0.2448588E-01
   0.6421833      0.2482724E-01
   0.6498844      0.2515576E-01
   0.6576460      0.2547799E-01
   0.6654465      0.2579348E-01
   0.6732649      0.2609987E-01
   0.6810828      0.2639501E-01
   0.6888853      0.2667694E-01
   0.6966604      0.2694394E-01
   0.7043999      0.2719450E-01
   0.7120987      0.2742732E-01
   0.7197549      0.2764128E-01
   0.7273696      0.2783537E-01
   0.7349459      0.2800825E-01
   0.7424871      0.2815784E-01
   0.7499951      0.2828201E-01
   0.7574711      0.2837867E-01
   0.7649152      0.2844573E-01
   0.7723266      0.2848118E-01
   0.7797038      0.2848308E-01
   0.7870445      0.2844959E-01
   0.7943455      0.2837898E-01
   0.8016032      0.2826965E-01
   0.8088136      0.2812044E-01
   0.8159741      0.2793081E-01
   0.8230846      0.2770030E-01
   0.8301474      0.2742842E-01
   0.8371666      0.2711454E-01
   0.8441485      0.2675786E-01
   0.8511010      0.2635737E-01
   0.8580339      0.2591170E-01
   0.8649586      0.2541915E-01
   0.8718887      0.2487752E-01
   0.8788396      0.2428396E-01
   0.8858258      0.2363428E-01
   0.8928525      0.2292392E-01
   0.8999133      0.2214930E-01
   0.9069886      0.2130849E-01
   0.9140464      0.2040189E-01
   0.9210427      0.1943278E-01
   0.9279256      0.1840754E-01
   0.9346405      0.1733538E-01
   0.9411362      0.1622747E-01
   0.9473710      0.1509585E-01
   0.9533152      0.1395047E-01
   0.9589584      0.1278254E-01
   0.9643195      0.1157258E-01
   0.9694361      0.1030154E-01
   0.9743506      0.8956680E-02
   0.9790949      0.7537342E-02
   0.9836874      0.6045462E-02
   0.9881378      0.4491662E-02
   0.9924412      0.2906505E-02
   0.9965739      0.1328616E-02
   0.9999950      0.5565386E-07
