SPICA  11.73% smoothed
   0.3129920E-02 -0.8722681E-02
   0.3697422E-02 -0.9459524E-02
   0.4314308E-02 -0.1018623E-01
   0.4982008E-02 -0.1090023E-01
   0.5702222E-02 -0.1159835E-01
   0.6476911E-02 -0.1227665E-01
   0.7308289E-02 -0.1293023E-01
   0.8198784E-02 -0.1355293E-01
   0.9150970E-02 -0.1413700E-01
   0.1016744E-01 -0.1467263E-01
   0.1125117E-01 -0.1514995E-01
   0.1240739E-01 -0.1556755E-01
   0.1364248E-01 -0.1592714E-01
   0.1496346E-01 -0.1623181E-01
   0.1637786E-01 -0.1648671E-01
   0.1789334E-01 -0.1670021E-01
   0.1951684E-01 -0.1688546E-01
   0.2125339E-01 -0.1706144E-01
   0.2310970E-01 -0.1723722E-01
   0.2509474E-01 -0.1741055E-01
   0.2721643E-01 -0.1757801E-01
   0.2948091E-01 -0.1773518E-01
   0.3189229E-01 -0.1787653E-01
   0.3445316E-01 -0.1799542E-01
   0.3716656E-01 -0.1808415E-01
   0.4004021E-01 -0.1813387E-01
   0.4309297E-01 -0.1813606E-01
   0.4635483E-01 -0.1809087E-01
   0.4986212E-01 -0.1800336E-01
   0.5365664E-01 -0.1788307E-01
   0.5778230E-01 -0.1774726E-01
   0.6227501E-01 -0.1762490E-01
   0.6714808E-01 -0.1753468E-01
   0.7239441E-01 -0.1746803E-01
   0.7799528E-01 -0.1740639E-01
   0.8393752E-01 -0.1732304E-01
   0.9022385E-01 -0.1720827E-01
   0.9684824E-01 -0.1707140E-01
   0.1037813     -0.1692653E-01
   0.1109674     -0.1678260E-01
   0.1183365     -0.1664056E-01
   0.1258173     -0.1650065E-01
   0.1333480     -0.1636263E-01
   0.1408847     -0.1622578E-01
   0.1484052     -0.1608896E-01
   0.1559093     -0.1595078E-01
   0.1634099     -0.1581083E-01
   0.1709187     -0.1566929E-01
   0.1784441     -0.1552641E-01
   0.1859912     -0.1538250E-01
   0.1935615     -0.1523795E-01
   0.2011530     -0.1509322E-01
   0.2087603     -0.1494871E-01
   0.2163766     -0.1480449E-01
   0.2239924     -0.1466064E-01
   0.2316077     -0.1451703E-01
   0.2392247     -0.1437350E-01
   0.2468416     -0.1422998E-01
   0.2544558     -0.1408641E-01
   0.2620685     -0.1394273E-01
   0.2696809     -0.1379894E-01
   0.2772939     -0.1365506E-01
   0.2849080     -0.1351111E-01
   0.2925235     -0.1336712E-01
   0.3001404     -0.1322310E-01
   0.3077584     -0.1307911E-01
   0.3153767     -0.1293514E-01
   0.3229949     -0.1279121E-01
   0.3306130     -0.1264729E-01
   0.3382313     -0.1250337E-01
   0.3458498     -0.1235946E-01
   0.3534681     -0.1221554E-01
   0.3610862     -0.1207162E-01
   0.3687043     -0.1192769E-01
   0.3763224     -0.1178375E-01
   0.3839406     -0.1163980E-01
   0.3915589     -0.1149586E-01
   0.3991773     -0.1135191E-01
   0.4067958     -0.1120796E-01
   0.4144143     -0.1106401E-01
   0.4220328     -0.1092007E-01
   0.4296513     -0.1077613E-01
   0.4372698     -0.1063219E-01
   0.4448883     -0.1048824E-01
   0.4525068     -0.1034430E-01
   0.4601253     -0.1020036E-01
