E210  (13.64%)
    1.000000     -0.5471833E-18
   0.9965373      0.9765184E-03
   0.9922350      0.2289395E-02
   0.9875672      0.3808198E-02
   0.9825256      0.5513013E-02
   0.9771483      0.7368482E-02
   0.9715091      0.9322003E-02
   0.9656965      0.1131034E-01
   0.9597924      0.1328589E-01
   0.9538481      0.1521650E-01
   0.9478725      0.1708578E-01
   0.9418461      0.1889663E-01
   0.9357502      0.2065793E-01
   0.9295722      0.2237630E-01
   0.9233068      0.2405628E-01
   0.9169546      0.2570232E-01
   0.9105192      0.2731928E-01
   0.9040072      0.2891189E-01
   0.8974284      0.3048472E-01
   0.8907948      0.3204029E-01
   0.8841178      0.3357806E-01
   0.8774068      0.3509776E-01
   0.8706692      0.3659979E-01
   0.8639104      0.3808514E-01
   0.8571334      0.3955473E-01
   0.8503402      0.4100888E-01
   0.8435327      0.4244790E-01
   0.8367125      0.4387217E-01
   0.8298809      0.4528213E-01
   0.8230392      0.4667825E-01
   0.8161884      0.4806078E-01
   0.8093292      0.4942995E-01
   0.8024625      0.5078600E-01
   0.7955891      0.5212919E-01
   0.7887096      0.5345981E-01
   0.7818246      0.5477809E-01
   0.7749347      0.5608410E-01
   0.7680403      0.5737788E-01
   0.7611419      0.5865950E-01
   0.7542399      0.5992900E-01
   0.7473347      0.6118648E-01
   0.7404267      0.6243198E-01
   0.7335161      0.6366550E-01
   0.7266031      0.6488703E-01
   0.7196879      0.6609656E-01
   0.7127705      0.6729411E-01
   0.7058507      0.6847970E-01
   0.6989284      0.6965339E-01
   0.6920034      0.7081523E-01
   0.6850756      0.7196527E-01
   0.6781450      0.7310351E-01
   0.6712120      0.7422995E-01
   0.6642771      0.7534452E-01
   0.6573410      0.7644715E-01
   0.6504048      0.7753771E-01
   0.6434694      0.7861586E-01
   0.6365357      0.7968111E-01
   0.6296041      0.8073299E-01
   0.6226749      0.8177107E-01
   0.6157479      0.8279501E-01
   0.6088227      0.8380449E-01
   0.6018987      0.8479922E-01
   0.5949748      0.8577908E-01
   0.5880506      0.8674406E-01
   0.5811255      0.8769407E-01
   0.5741998      0.8862901E-01
   0.5672736      0.8954870E-01
   0.5603477      0.9045296E-01
   0.5534231      0.9134154E-01
   0.5465008      0.9221390E-01
   0.5395822      0.9306916E-01
   0.5326684      0.9390647E-01
   0.5257604      0.9472499E-01
   0.5188591      0.9552389E-01
   0.5119655      0.9630239E-01
   0.5050804      0.9705971E-01
   0.4982044      0.9779495E-01
   0.4913383      0.9850692E-01
   0.4844822      0.9919447E-01
   0.4776365      0.9985647E-01
   0.4708011      0.1004918    
   0.4639759      0.1010995    
   0.4571605      0.1016785    
   0.4503544      0.1022277    
   0.4435572      0.1027465    
   0.4367687      0.1032338    
   0.4299886      0.1036889    
   0.4232168      0.1041108    
   0.4164532      0.1044989    
   0.4096979      0.1048521    
   0.4029508      0.1051697    
   0.3962122      0.1054509    
   0.3894821      0.1056950    
   0.3827605      0.1059012    
   0.3760472      0.1060688    
   0.3693420      0.1061970    
   0.3626446      0.1062852    
   0.3559548      0.1063326    
   0.3492724      0.1063387    
   0.3425976      0.1063029    
   0.3359309      0.1062245    
   0.3292729      0.1061032    
   0.3226244      0.1059382    
   0.3159865      0.1057291    
   0.3093604      0.1054751    
   0.3027471      0.1051754    
   0.2961470      0.1048292    
   0.2895606      0.1044358    
   0.2829878      0.1039941    
   0.2764281      0.1035035    
   0.2698809      0.1029632    
   0.2633459      0.1023727    
   0.2568223      0.1017316    
   0.2503099      0.1010395    
   0.2438083      0.1002959    
   0.2373173      0.9950022E-01
   0.2308367      0.9865213E-01
   0.2243665      0.9775144E-01
   0.2179071      0.9679804E-01
   0.2114590      0.9579188E-01
   0.2050231      0.9473293E-01
   0.1986005      0.9362124E-01
   0.1921927      0.9245680E-01
   0.1858014      0.9123934E-01
   0.1794288      0.8996864E-01
   0.1730773      0.8864463E-01
   0.1667496      0.8726736E-01
   0.1604486      0.8583697E-01
   0.1541776      0.8435316E-01
   0.1479403      0.8281518E-01
   0.1417400      0.8122241E-01
   0.1355801      0.7957432E-01
   0.1294638      0.7787051E-01
   0.1233947      0.7611036E-01
   0.1173768      0.7429289E-01
   0.1114153      0.7241746E-01
   0.1055156      0.7048391E-01
   0.9968362E-01  0.6849255E-01
   0.9392599E-01  0.6644379E-01
   0.8825102E-01  0.6433797E-01
   0.8266788E-01  0.6217628E-01
   0.7718616E-01  0.5996088E-01
   0.7181560E-01  0.5769471E-01
   0.6656896E-01  0.5538091E-01
   0.6146597E-01  0.5302560E-01
   0.5653073E-01  0.5063932E-01
   0.5178791E-01  0.4823590E-01
   0.4726059E-01  0.4583031E-01
   0.4297061E-01  0.4343668E-01
   0.3893348E-01  0.4106891E-01
   0.3515624E-01  0.3873951E-01
   0.3163796E-01  0.3645845E-01
   0.2837713E-01  0.3423383E-01
   0.2537987E-01  0.3207916E-01
   0.2264993E-01  0.3001077E-01
   0.2018143E-01  0.2804118E-01
   0.1795881E-01  0.2617654E-01
   0.1596316E-01  0.2441680E-01
