E174  (Dicke 8.92%)
   0.4842968E-02 -0.6095461E-02
   0.5958123E-02 -0.6528564E-02
   0.7238986E-02 -0.6982427E-02
   0.8698562E-02 -0.7474389E-02
   0.1036866E-01 -0.8005740E-02
   0.1226846E-01 -0.8567550E-02
   0.1438075E-01 -0.9137875E-02
   0.1665416E-01 -0.9688489E-02
   0.1905647E-01 -0.1020279E-01
   0.2162397E-01 -0.1068390E-01
   0.2442519E-01 -0.1114021E-01
   0.2755511E-01 -0.1157993E-01
   0.3115061E-01 -0.1201215E-01
   0.3538973E-01 -0.1244756E-01
   0.4037953E-01 -0.1288883E-01
   0.4597704E-01 -0.1330519E-01
   0.5181825E-01 -0.1365990E-01
   0.5761892E-01 -0.1394159E-01
   0.6336739E-01 -0.1416130E-01
   0.6916949E-01 -0.1433096E-01
   0.7510670E-01 -0.1445799E-01
   0.8122656E-01 -0.1454767E-01
   0.8752922E-01 -0.1460485E-01
   0.9396061E-01 -0.1463249E-01
   0.1004556     -0.1463136E-01
   0.1069650     -0.1460315E-01
   0.1134617     -0.1455022E-01
   0.1199427     -0.1447498E-01
   0.1264228     -0.1437950E-01
   0.1329182     -0.1426555E-01
   0.1394399     -0.1413481E-01
   0.1459938     -0.1398906E-01
   0.1525800     -0.1383021E-01
   0.1591932     -0.1366024E-01
   0.1658245     -0.1348031E-01
   0.1724663     -0.1329114E-01
   0.1791128     -0.1309340E-01
   0.1857606     -0.1288774E-01
   0.1924082     -0.1267476E-01
   0.1990563     -0.1245500E-01
   0.2057070     -0.1222894E-01
   0.2123625     -0.1199708E-01
   0.2190243     -0.1175993E-01
   0.2256932     -0.1151802E-01
   0.2323698     -0.1127191E-01
   0.2390540     -0.1102216E-01
   0.2457451     -0.1076935E-01
   0.2524421     -0.1051391E-01
   0.2591440     -0.1025622E-01
   0.2658501     -0.9996656E-02
   0.2725594     -0.9735592E-02
   0.2792713     -0.9473402E-02
   0.2859851     -0.9210457E-02
   0.2927001     -0.8947117E-02
   0.2994160     -0.8683598E-02
   0.3061321     -0.8420029E-02
   0.3128481     -0.8156539E-02
   0.3195636     -0.7893250E-02
   0.3262783     -0.7630286E-02
   0.3329918     -0.7367767E-02
   0.3397039     -0.7105811E-02
   0.3464146     -0.6844547E-02
   0.3531235     -0.6584134E-02
   0.3598307     -0.6324737E-02
   0.3665361     -0.6066518E-02
   0.3732397     -0.5809635E-02
   0.3799417     -0.5554245E-02
   0.3866421     -0.5300505E-02
   0.3933412     -0.5048567E-02
   0.4000390     -0.4798557E-02
   0.4067359     -0.4550546E-02
   0.4134321     -0.4304603E-02
   0.4201275     -0.4060796E-02
   0.4268223     -0.3819198E-02
   0.4335165     -0.3579880E-02
   0.4402100     -0.3342918E-02
   0.4469029     -0.3108387E-02
   0.4535949     -0.2876368E-02
   0.4602860     -0.2646953E-02
   0.4669761     -0.2420237E-02
   0.4736652     -0.2196310E-02
   0.4803533     -0.1975261E-02
   0.4870405     -0.1757181E-02
   0.4937268     -0.1542154E-02
   0.5004125     -0.1330269E-02
   0.5070977     -0.1121600E-02
   0.5137825     -0.9161797E-03
   0.5204672     -0.7140244E-03
   0.5271518     -0.5151522E-03
   0.5338364     -0.3195828E-03
   0.5405209     -0.1273376E-03
   0.5472054      0.6156076E-04
   0.5538896      0.2470882E-03
   0.5605734      0.4292173E-03
   0.5672567      0.6078866E-03
   0.5739393      0.7830120E-03
   0.5806210      0.9545102E-03
   0.5873019      0.1122299E-02
   0.5939818      0.1286299E-02
   0.6006609      0.1446430E-02
   0.6073392      0.1602615E-02
   0.6140169      0.1754776E-02
   0.6206941      0.1902853E-02
   0.6273709      0.2046803E-02
   0.6340474      0.2186583E-02
   0.6407236      0.2322148E-02
   0.6473995      0.2453452E-02
   0.6540750      0.2580449E-02
   0.6607499      0.2703090E-02
   0.6674241      0.2821328E-02
   0.6740972      0.2935083E-02
   0.6807691      0.3044246E-02
   0.6874398      0.3148709E-02
   0.6941092      0.3248363E-02
   0.7007773      0.3343104E-02
   0.7074444      0.3432825E-02
   0.7141107      0.3517424E-02
   0.7207765      0.3596801E-02
   0.7274420      0.3670915E-02
   0.7341076      0.3739752E-02
   0.7407734      0.3803292E-02
   0.7474391      0.3861519E-02
   0.7541047      0.3914413E-02
   0.7607697      0.3961953E-02
   0.7674337      0.4004117E-02
   0.7740962      0.4040796E-02
   0.7807566      0.4071776E-02
   0.7874147      0.4096841E-02
   0.7940701      0.4115777E-02
   0.8007231      0.4128372E-02
   0.8073735      0.4134412E-02
   0.8140218      0.4133688E-02
   0.8206684      0.4126030E-02
   0.8273133      0.4111297E-02
   0.8339568      0.4089351E-02
   0.8405988      0.4060053E-02
   0.8472391      0.4023264E-02
   0.8538772      0.3978851E-02
   0.8605126      0.3926614E-02
   0.8671449      0.3866247E-02
   0.8737736      0.3797437E-02
   0.8803983      0.3719871E-02
   0.8870186      0.3633241E-02
   0.8936344      0.3537229E-02
   0.9002451      0.3431425E-02
   0.9068504      0.3315357E-02
   0.9134490      0.3188562E-02
   0.9200399      0.3050596E-02
   0.9266214      0.2901027E-02
   0.9331909      0.2739358E-02
   0.9397443      0.2565110E-02
   0.9462757      0.2377893E-02
   0.9527774      0.2177404E-02
   0.9592332      0.1962912E-02
   0.9656011      0.1734102E-02
   0.9718146      0.1492245E-02
   0.9777907      0.1239126E-02
   0.9834116      0.9764992E-03
   0.9885572      0.7096883E-03
   0.9931422      0.4465047E-03
   0.9970866      0.1979704E-03
    1.000000     -0.4065758E-19
