K3311  (original)
   0.4110970E-02 -0.7595275E-02
   0.4890991E-02 -0.8269515E-02
   0.5758600E-02 -0.8945792E-02
   0.6722842E-02 -0.9621250E-02
   0.7794375E-02 -0.1029070E-01
   0.8984927E-02 -0.1094492E-01
   0.1030526E-01 -0.1156758E-01
   0.1176695E-01 -0.1213833E-01
   0.1339565E-01 -0.1264929E-01
   0.1522496E-01 -0.1309956E-01
   0.1729511E-01 -0.1349972E-01
   0.1965428E-01 -0.1388505E-01
   0.2236022E-01 -0.1432630E-01
   0.2547418E-01 -0.1486110E-01
   0.2903726E-01 -0.1549456E-01
   0.3303689E-01 -0.1621312E-01
   0.3739341E-01 -0.1697868E-01
   0.4201114E-01 -0.1773896E-01
   0.4685723E-01 -0.1845947E-01
   0.5193662E-01 -0.1912848E-01
   0.5726251E-01 -0.1973569E-01
   0.6286222E-01 -0.2027144E-01
   0.6877330E-01 -0.2074037E-01
   0.7500937E-01 -0.2116539E-01
   0.8152507E-01 -0.2157689E-01
   0.8819714E-01 -0.2199403E-01
   0.9489882E-01 -0.2240239E-01
   0.1015683     -0.2278712E-01
   0.1082105     -0.2314168E-01
   0.1148508     -0.2346867E-01
   0.1215087     -0.2377101E-01
   0.1281974     -0.2405111E-01
   0.1349235     -0.2431101E-01
   0.1416866     -0.2455248E-01
   0.1484790     -0.2477712E-01
   0.1552852     -0.2498609E-01
   0.1620865     -0.2517779E-01
   0.1688688     -0.2534953E-01
   0.1756239     -0.2549892E-01
   0.1823495     -0.2562381E-01
   0.1890487     -0.2572224E-01
   0.1957296     -0.2579228E-01
   0.2024054     -0.2583199E-01
   0.2090931     -0.2584185E-01
   0.2158078     -0.2582613E-01
   0.2225596     -0.2578936E-01
   0.2293541     -0.2573612E-01
   0.2361914     -0.2567119E-01
   0.2430657     -0.2559962E-01
   0.2499650     -0.2552668E-01
   0.2568713     -0.2545631E-01
   0.2637658     -0.2538601E-01
   0.2706348     -0.2531154E-01
   0.2774704     -0.2522875E-01
   0.2842701     -0.2513355E-01
   0.2910364     -0.2502190E-01
   0.2977766     -0.2488978E-01
   0.3045023     -0.2473348E-01
   0.3112276     -0.2455435E-01
   0.3179639     -0.2435714E-01
   0.3247189     -0.2414670E-01
   0.3314971     -0.2392802E-01
   0.3382988     -0.2370632E-01
   0.3451206     -0.2348704E-01
   0.3519550     -0.2327580E-01
   0.3587910     -0.2307487E-01
   0.3656184     -0.2288012E-01
   0.3724301     -0.2268669E-01
   0.3792227     -0.2248966E-01
   0.3859958     -0.2228410E-01
   0.3927523     -0.2206508E-01
   0.3994983     -0.2182757E-01
   0.4062424     -0.2156736E-01
   0.4129945     -0.2128488E-01
   0.4197625     -0.2098211E-01
   0.4265524     -0.2066107E-01
   0.4333680     -0.2032388E-01
   0.4402109     -0.1997277E-01
   0.4470805     -0.1961018E-01
   0.4539736     -0.1923868E-01
   0.4608853     -0.1886011E-01
   0.4678109     -0.1847562E-01
   0.4747463     -0.1808632E-01
   0.4816886     -0.1769327E-01
   0.4886354     -0.1729752E-01
   0.4955853     -0.1690005E-01
   0.5025379     -0.1650180E-01
   0.5094932     -0.1610331E-01
   0.5164479     -0.1570480E-01
   0.5234002     -0.1530633E-01
   0.5303514     -0.1490781E-01
   0.5373029     -0.1450913E-01
   0.5442571     -0.1411014E-01
   0.5512104     -0.1371101E-01
   0.5581552     -0.1331250E-01
   0.5650888     -0.1291590E-01
   0.5720100     -0.1252255E-01
   0.5789187     -0.1213370E-01
   0.5858160     -0.1175052E-01
   0.5927042     -0.1137409E-01
   0.5995870     -0.1100545E-01
   0.6064688     -0.1064531E-01
   0.6133541     -0.1029298E-01
   0.6202465     -0.9947433E-02
   0.6271479     -0.9607718E-02
   0.6340593     -0.9272938E-02
   0.6409803     -0.8942257E-02
   0.6479091     -0.8614890E-02
   0.6548426     -0.8290175E-02
   0.6617772     -0.7968203E-02
   0.6687100     -0.7649469E-02
   0.6756390     -0.7334418E-02
   0.6825633     -0.7023450E-02
   0.6894830     -0.6716914E-02
   0.6963992     -0.6415118E-02
   0.7033138     -0.6118320E-02
   0.7102294     -0.5826554E-02
   0.7171479     -0.5539674E-02
   0.7240700     -0.5257573E-02
   0.7309951     -0.4980194E-02
   0.7379214     -0.4707527E-02
   0.7448461     -0.4439602E-02
   0.7517650     -0.4176490E-02
   0.7586731     -0.3918700E-02
   0.7655667     -0.3667496E-02
   0.7724445     -0.3424123E-02
   0.7793071     -0.3189730E-02
   0.7861576     -0.2965382E-02
   0.7930010     -0.2752084E-02
   0.7998446     -0.2550806E-02
   0.8066976     -0.2362090E-02
   0.8135683     -0.2184737E-02
   0.8204613     -0.2017175E-02
   0.8273773     -0.1857922E-02
   0.8343124     -0.1705564E-02
   0.8412583     -0.1558739E-02
   0.8482023     -0.1416133E-02
   0.8551272     -0.1276808E-02
   0.8620164     -0.1142667E-02
   0.8688605     -0.1016885E-02
   0.8756581     -0.9023610E-03
   0.8824150     -0.8017649E-03
   0.8891438     -0.7176299E-03
   0.8958635     -0.6524849E-03
   0.9025999     -0.6089374E-03
   0.9093820     -0.5865127E-03
   0.9162271     -0.5803111E-03
   0.9231313     -0.5849356E-03
   0.9300675     -0.5946324E-03
   0.9369836     -0.6033818E-03
   0.9438069     -0.6053053E-03
   0.9504545     -0.5952999E-03
   0.9568473     -0.5706143E-03
   0.9629300     -0.5327888E-03
   0.9686771     -0.4842054E-03
   0.9740860     -0.4270784E-03
   0.9791693     -0.3633122E-03
   0.9839476     -0.2944677E-03
   0.9884450     -0.2217875E-03
   0.9926862     -0.1462445E-03
   0.9966948     -0.6859420E-04
    1.000000      0.5895346E-18
