R140  12.04% (smoothed)
   0.2146520E-01 -0.1476191E-01
   0.2610697E-01 -0.1645587E-01
   0.3109525E-01 -0.1809579E-01
   0.3637929E-01 -0.1967318E-01
   0.4188082E-01 -0.2118711E-01
   0.4752106E-01 -0.2262949E-01
   0.5326193E-01 -0.2400741E-01
   0.5909571E-01 -0.2533271E-01
   0.6500613E-01 -0.2661466E-01
   0.7096495E-01 -0.2785620E-01
   0.7694691E-01 -0.2905524E-01
   0.8293611E-01 -0.3021069E-01
   0.8892853E-01 -0.3132043E-01
   0.9493224E-01 -0.3238425E-01
   0.1009576     -0.3340586E-01
   0.1070016     -0.3438833E-01
   0.1130532     -0.3533091E-01
   0.1191113     -0.3623255E-01
   0.1251877     -0.3709613E-01
   0.1312938     -0.3792826E-01
   0.1374335     -0.3873487E-01
   0.1436038     -0.3952097E-01
   0.1497942     -0.4029073E-01
   0.1559908     -0.4104512E-01
   0.1621889     -0.4178301E-01
   0.1683955     -0.4250531E-01
   0.1746170     -0.4321545E-01
   0.1808487     -0.4391586E-01
   0.1870788     -0.4460515E-01
   0.1932994     -0.4528012E-01
   0.1995085     -0.4593831E-01
   0.2057102     -0.4657814E-01
   0.2119101     -0.4719963E-01
   0.2181120     -0.4780300E-01
   0.2243166     -0.4838814E-01
   0.2305222     -0.4895470E-01
   0.2367253     -0.4950162E-01
   0.2429234     -0.5002735E-01
   0.2491160     -0.5053052E-01
   0.2553044     -0.5100993E-01
   0.2614916     -0.5146478E-01
   0.2676809     -0.5189553E-01
   0.2738742     -0.5230276E-01
   0.2800724     -0.5268697E-01
   0.2862749     -0.5304856E-01
   0.2924801     -0.5338775E-01
   0.2986865     -0.5370443E-01
   0.3048933     -0.5399852E-01
   0.3111008     -0.5426999E-01
   0.3173098     -0.5451892E-01
   0.3235214     -0.5474567E-01
   0.3297358     -0.5495062E-01
   0.3359528     -0.5513413E-01
   0.3421715     -0.5529651E-01
   0.3483908     -0.5543783E-01
   0.3546100     -0.5555803E-01
   0.3608291     -0.5565705E-01
   0.3670488     -0.5573487E-01
   0.3732702     -0.5579160E-01
   0.3794942     -0.5582773E-01
   0.3857211     -0.5584375E-01
   0.3919504     -0.5584015E-01
   0.3981810     -0.5581741E-01
   0.4044115     -0.5577566E-01
   0.4106414     -0.5571492E-01
   0.4168711     -0.5563518E-01
   0.4231016     -0.5553643E-01
   0.4293347     -0.5541899E-01
   0.4355716     -0.5528367E-01
   0.4418127     -0.5513130E-01
   0.4480572     -0.5496275E-01
   0.4543035     -0.5477879E-01
   0.4605499     -0.5457957E-01
   0.4667953     -0.5436507E-01
   0.4730394     -0.5413527E-01
   0.4792825     -0.5389008E-01
   0.4855254     -0.5362948E-01
   0.4917685     -0.5335344E-01
   0.4980111     -0.5306202E-01
   0.5042518     -0.5275530E-01
   0.5104884     -0.5243315E-01
   0.5167191     -0.5209468E-01
   0.5229431     -0.5173885E-01
   0.5291611     -0.5136455E-01
   0.5353748     -0.5097071E-01
   0.5415864     -0.5055717E-01
   0.5477981     -0.5012421E-01
   0.5540114     -0.4967208E-01
   0.5602274     -0.4920109E-01
   0.5664471     -0.4871190E-01
   0.5726712     -0.4820582E-01
   0.5789009     -0.4768423E-01
   0.5851374     -0.4714848E-01
   0.5913824     -0.4659998E-01
   0.5976370     -0.4604051E-01
   0.6039015     -0.4547214E-01
   0.6101749     -0.4489706E-01
   0.6164549     -0.4431760E-01
   0.6227386     -0.4373569E-01
   0.6290234     -0.4315260E-01
   0.6353080     -0.4256948E-01
   0.6415926     -0.4198735E-01
   0.6478782     -0.4140687E-01
   0.6541660     -0.4082778E-01
   0.6604560     -0.4024975E-01
   0.6667474     -0.3967251E-01
   0.6730379     -0.3909587E-01
   0.6793249     -0.3851904E-01
   0.6856062     -0.3794072E-01
   0.6918803     -0.3735951E-01
   0.6981466     -0.3677398E-01
   0.7044053     -0.3618268E-01
   0.7106567     -0.3558423E-01
   0.7169012     -0.3497728E-01
   0.7231392     -0.3436045E-01
   0.7293708     -0.3373249E-01
   0.7355969     -0.3309256E-01
   0.7418182     -0.3244003E-01
   0.7480363     -0.3177419E-01
   0.7542530     -0.3109429E-01
   0.7604707     -0.3040025E-01
   0.7666912     -0.2969289E-01
   0.7729160     -0.2897317E-01
   0.7791458     -0.2824213E-01
   0.7853808     -0.2750085E-01
   0.7916208     -0.2675048E-01
   0.7978653     -0.2599219E-01
   0.8041139     -0.2522716E-01
   0.8103661     -0.2445659E-01
   0.8166212     -0.2368182E-01
   0.8228788     -0.2290440E-01
   0.8291387     -0.2212586E-01
   0.8354009     -0.2134772E-01
   0.8416657     -0.2057100E-01
   0.8479330     -0.1979557E-01
   0.8542024     -0.1902112E-01
   0.8604729     -0.1824743E-01
   0.8667434     -0.1747431E-01
   0.8730128     -0.1670181E-01
   0.8792811     -0.1593001E-01
   0.8855490     -0.1515882E-01
   0.8918188     -0.1438802E-01
   0.8980911     -0.1361696E-01
   0.9043614     -0.1284504E-01
   0.9106325     -0.1207070E-01
   0.9168940     -0.1129406E-01
   0.9231309     -0.1051587E-01
   0.9293363     -0.9736104E-02
   0.9355185     -0.8952911E-02
   0.9417011     -0.8162462E-02
   0.9479227     -0.7358800E-02
   0.9541537     -0.6543788E-02
   0.9603248     -0.5723812E-02
   0.9665213     -0.4884812E-02
   0.9726517     -0.4036519E-02
   0.9784137     -0.3220600E-02
   0.9837042     -0.2455243E-02
   0.9885106     -0.1746434E-02
   0.9928698     -0.1092475E-02
   0.9968356     -0.4883339E-03
    1.000000     -0.3811648E-20
