MH 112  Airfoil
   0.1373810E-02 -0.9098885E-02
   0.1765260E-02 -0.1012151E-01
   0.2222153E-02 -0.1112066E-01
   0.2761984E-02 -0.1208400E-01
   0.3403893E-02 -0.1299099E-01
   0.4163103E-02 -0.1381462E-01
   0.5023018E-02 -0.1455682E-01
   0.5954296E-02 -0.1523405E-01
   0.6941018E-02 -0.1586334E-01
   0.7973503E-02 -0.1645712E-01
   0.9048921E-02 -0.1701979E-01
   0.1016466E-01 -0.1755534E-01
   0.1131904E-01 -0.1806745E-01
   0.1251167E-01 -0.1855935E-01
   0.1374206E-01 -0.1903466E-01
   0.1501031E-01 -0.1949583E-01
   0.1631782E-01 -0.1994329E-01
   0.1766614E-01 -0.2037732E-01
   0.1905688E-01 -0.2079831E-01
   0.2049169E-01 -0.2120675E-01
   0.2197225E-01 -0.2160323E-01
   0.2350024E-01 -0.2198851E-01
   0.2507733E-01 -0.2236349E-01
   0.2670579E-01 -0.2272846E-01
   0.2838845E-01 -0.2308317E-01
   0.3012839E-01 -0.2342736E-01
   0.3192890E-01 -0.2376084E-01
   0.3379352E-01 -0.2408346E-01
   0.3572603E-01 -0.2439513E-01
   0.3773046E-01 -0.2469590E-01
   0.3981115E-01 -0.2498590E-01
   0.4197269E-01 -0.2526547E-01
   0.4421995E-01 -0.2553516E-01
   0.4655825E-01 -0.2579541E-01
   0.4899370E-01 -0.2604564E-01
   0.5153298E-01 -0.2628500E-01
   0.5418324E-01 -0.2651263E-01
   0.5695216E-01 -0.2672765E-01
   0.5984795E-01 -0.2692920E-01
   0.6287939E-01 -0.2711644E-01
   0.6605587E-01 -0.2728866E-01
   0.6938745E-01 -0.2744529E-01
   0.7288508E-01 -0.2758567E-01
   0.7656058E-01 -0.2770818E-01
   0.8042627E-01 -0.2781085E-01
   0.8449471E-01 -0.2789163E-01
   0.8877849E-01 -0.2794842E-01
   0.9329000E-01 -0.2797919E-01
   0.9804143E-01 -0.2798209E-01
   0.1030449     -0.2795545E-01
   0.1083123     -0.2789694E-01
   0.1138541     -0.2780374E-01
   0.1196778     -0.2767323E-01
   0.1257881     -0.2750323E-01
   0.1321863     -0.2729210E-01
   0.1388719     -0.2703893E-01
   0.1458423     -0.2674252E-01
   0.1530911     -0.2640156E-01
   0.1606077     -0.2601546E-01
   0.1683780     -0.2558448E-01
   0.1763866     -0.2510968E-01
   0.1846188     -0.2459243E-01
   0.1930591     -0.2403381E-01
   0.2016904     -0.2343543E-01
   0.2104950     -0.2279944E-01
   0.2194557     -0.2212845E-01
   0.2285572     -0.2142514E-01
   0.2377855     -0.2069156E-01
   0.2471271     -0.1992982E-01
   0.2565695     -0.1914221E-01
   0.2661015     -0.1833107E-01
   0.2757141     -0.1749869E-01
   0.2853995     -0.1664689E-01
   0.2951506     -0.1577742E-01
   0.3049608     -0.1489207E-01
   0.3148244     -0.1399262E-01
   0.3247362     -0.1308084E-01
   0.3346919     -0.1215825E-01
   0.3446868     -0.1122624E-01
   0.3547159     -0.1028632E-01
   0.3647739     -0.9340013E-02
   0.3748552     -0.8388926E-02
   0.3849537     -0.7434530E-02
   0.3950634     -0.6478039E-02
   0.4051776     -0.5520673E-02
   0.4152897     -0.4563670E-02
   0.4253929     -0.3608282E-02
   0.4354803     -0.2655823E-02
   0.4455451     -0.1708056E-02
   0.4555815     -0.7669004E-03
   0.4655841      0.1658284E-03
   0.4755484      0.1088420E-02
   0.4854706      0.1999272E-02
   0.4953477      0.2896783E-02
   0.5051776      0.3779053E-02
   0.5149594      0.4644254E-02
   0.5246936      0.5490716E-02
   0.5343815      0.6316916E-02
   0.5440255      0.7121457E-02
   0.5536289      0.7903177E-02
   0.5631948      0.8661410E-02
   0.5727263      0.9395564E-02
   0.5822255      0.1010501E-01
   0.5916942      0.1078908E-01
   0.6011340      0.1144708E-01
   0.6105457      0.1207831E-01
   0.6199301      0.1268217E-01
   0.6292874      0.1325809E-01
   0.6386181      0.1380549E-01
