CAP 21   (TraCFoil)
   0.3909101     -0.5372158E-01
   0.3988531     -0.5303237E-01
   0.4063520     -0.5238129E-01
   0.4134673     -0.5176315E-01
   0.4202477     -0.5117377E-01
   0.4267328     -0.5060976E-01
   0.4329555     -0.5006828E-01
   0.4389433     -0.4954700E-01
   0.4447194     -0.4904390E-01
   0.4503038     -0.4855727E-01
   0.4557136     -0.4808566E-01
   0.4609637     -0.4762777E-01
   0.4660670     -0.4718249E-01
   0.4710350     -0.4674885E-01
   0.4758779     -0.4632596E-01
   0.4806046     -0.4591305E-01
   0.4852233     -0.4550943E-01
   0.4897411     -0.4511448E-01
   0.4941645     -0.4472764E-01
   0.4984996     -0.4434840E-01
   0.5027515     -0.4397630E-01
   0.5069253     -0.4361092E-01
   0.5110254     -0.4325187E-01
   0.5150558     -0.4289880E-01
   0.5190205     -0.4255139E-01
   0.5229227     -0.4220934E-01
   0.5267658     -0.4187236E-01
   0.5305528     -0.4154021E-01
   0.5342863     -0.4121265E-01
   0.5379690     -0.4088945E-01
   0.5416032     -0.4057041E-01
   0.5451913     -0.4025533E-01
   0.5487353     -0.3994403E-01
   0.5522372     -0.3963635E-01
   0.5556988     -0.3933212E-01
   0.5591219     -0.3903119E-01
   0.5625081     -0.3873343E-01
   0.5658589     -0.3843870E-01
   0.5691759     -0.3814686E-01
   0.5724604     -0.3785781E-01
   0.5757137     -0.3757143E-01
   0.5789370     -0.3728762E-01
   0.5821316     -0.3700626E-01
   0.5852986     -0.3672726E-01
   0.5884391     -0.3645053E-01
   0.5915540     -0.3617599E-01
   0.5946444     -0.3590354E-01
   0.5977112     -0.3563310E-01
   0.6007553     -0.3536460E-01
   0.6037775     -0.3509797E-01
   0.6067787     -0.3483313E-01
   0.6097596     -0.3457001E-01
   0.6127211     -0.3430855E-01
   0.6156638     -0.3404868E-01
   0.6185885     -0.3379035E-01
   0.6214958     -0.3353349E-01
   0.6243864     -0.3327805E-01
   0.6272610     -0.3302397E-01
   0.6301201     -0.3277120E-01
   0.6329644     -0.3251968E-01
   0.6357943     -0.3226937E-01
   0.6386106     -0.3202022E-01
   0.6414137     -0.3177218E-01
   0.6442041     -0.3152521E-01
   0.6469824     -0.3127925E-01
   0.6497491     -0.3103427E-01
   0.6525047     -0.3079022E-01
   0.6552496     -0.3054706E-01
   0.6579843     -0.3030475E-01
   0.6607093     -0.3006326E-01
   0.6634250     -0.2982253E-01
   0.6661319     -0.2958253E-01
   0.6688304     -0.2934323E-01
   0.6715209     -0.2910459E-01
   0.6742039     -0.2886656E-01
   0.6768797     -0.2862912E-01
   0.6795488     -0.2839223E-01
   0.6822115     -0.2815584E-01
   0.6848684     -0.2791994E-01
   0.6875196     -0.2768448E-01
   0.6901658     -0.2744942E-01
   0.6928072     -0.2721474E-01
   0.6954442     -0.2698040E-01
   0.6980772     -0.2674637E-01
   0.7007067     -0.2651261E-01
   0.7033329     -0.2627908E-01
   0.7059563     -0.2604576E-01
   0.7085772     -0.2581261E-01
   0.7111960     -0.2557959E-01
   0.7138132     -0.2534668E-01
   0.7164291     -0.2511384E-01
   0.7190441     -0.2488103E-01
   0.7216585     -0.2464821E-01
   0.7242728     -0.2441537E-01
   0.7268874     -0.2418245E-01
   0.7295027     -0.2394942E-01
   0.7321191     -0.2371624E-01
   0.7347370     -0.2348289E-01
   0.7373567     -0.2324931E-01
   0.7399789     -0.2301548E-01
   0.7426038     -0.2278136E-01
   0.7452320     -0.2254689E-01
   0.7478638     -0.2231205E-01
   0.7504998     -0.2207679E-01
   0.7531404     -0.2184107E-01
   0.7557862     -0.2160484E-01
   0.7584376     -0.2136806E-01
   0.7610951     -0.2113069E-01
   0.7637593     -0.2089266E-01
   0.7664307     -0.2065394E-01
   0.7691100     -0.2041448E-01
   0.7717976     -0.2017421E-01
   0.7744943     -0.1993309E-01
   0.7772005     -0.1969106E-01
   0.7799172     -0.1944805E-01
   0.7826448     -0.1920400E-01
   0.7853842     -0.1895885E-01
   0.7881360     -0.1871253E-01
   0.7909012     -0.1846497E-01
   0.7936805     -0.1821609E-01
   0.7964747     -0.1796581E-01
