NASA  NLF1015
   0.1095811E-01 -0.1177017E-01
   0.1266876E-01 -0.1247661E-01
   0.1455192E-01 -0.1323266E-01
   0.1662303E-01 -0.1403495E-01
   0.1889077E-01 -0.1487461E-01
   0.2135747E-01 -0.1573759E-01
   0.2402806E-01 -0.1660825E-01
   0.2692894E-01 -0.1747619E-01
   0.3010563E-01 -0.1834245E-01
   0.3361269E-01 -0.1921226E-01
   0.3751329E-01 -0.2009220E-01
   0.4186965E-01 -0.2099015E-01
   0.4670928E-01 -0.2191244E-01
   0.5198710E-01 -0.2284638E-01
   0.5759541E-01 -0.2376264E-01
   0.6340393E-01 -0.2463539E-01
   0.6932366E-01 -0.2545225E-01
   0.7534327E-01 -0.2621508E-01
   0.8148302E-01 -0.2692970E-01
   0.8775578E-01 -0.2760078E-01
   0.9416195E-01 -0.2823204E-01
   0.1006854     -0.2882635E-01
   0.1072958     -0.2938395E-01
   0.1139638     -0.2990365E-01
   0.1206666     -0.3038546E-01
   0.1273904     -0.3083059E-01
   0.1341307     -0.3124115E-01
   0.1408907     -0.3161945E-01
   0.1476747     -0.3196748E-01
   0.1544851     -0.3228707E-01
   0.1613226     -0.3257997E-01
   0.1681857     -0.3284789E-01
   0.1750710     -0.3309241E-01
   0.1819744     -0.3331444E-01
   0.1888923     -0.3351474E-01
   0.1958216     -0.3369414E-01
   0.2027603     -0.3385352E-01
   0.2097069     -0.3399383E-01
   0.2166608     -0.3411598E-01
   0.2236219     -0.3422057E-01
   0.2305898     -0.3430811E-01
   0.2375644     -0.3437909E-01
   0.2445452     -0.3443403E-01
   0.2515319     -0.3447343E-01
   0.2585238     -0.3449782E-01
   0.2655203     -0.3450757E-01
   0.2725209     -0.3450296E-01
   0.2795250     -0.3448424E-01
   0.2865321     -0.3445167E-01
   0.2935415     -0.3440551E-01
   0.3005528     -0.3434603E-01
   0.3075655     -0.3427350E-01
   0.3145791     -0.3418805E-01
   0.3215932     -0.3408971E-01
   0.3286076     -0.3397852E-01
   0.3356222     -0.3385453E-01
   0.3426368     -0.3371777E-01
   0.3496517     -0.3356829E-01
   0.3566670     -0.3340611E-01
   0.3636829     -0.3323130E-01
   0.3706996     -0.3304393E-01
   0.3777169     -0.3284407E-01
   0.3847346     -0.3263180E-01
   0.3917522     -0.3240723E-01
   0.3987693     -0.3217044E-01
   0.4057848     -0.3192154E-01
   0.4127980     -0.3166035E-01
   0.4198076     -0.3138628E-01
   0.4268121     -0.3109871E-01
   0.4338098     -0.3079708E-01
   0.4407987     -0.3048085E-01
   0.4477768     -0.3014948E-01
   0.4547416     -0.2980250E-01
   0.4616906     -0.2943931E-01
   0.4686216     -0.2905866E-01
   0.4755332     -0.2865909E-01
   0.4824251     -0.2823914E-01
   0.4892980     -0.2779727E-01
   0.4961533     -0.2733195E-01
   0.5029934     -0.2684154E-01
   0.5098215     -0.2632435E-01
   0.5166418     -0.2577956E-01
   0.5234580     -0.2520745E-01
   0.5302740     -0.2460834E-01
   0.5370932     -0.2398251E-01
   0.5439189     -0.2333022E-01
   0.5507541     -0.2265169E-01
   0.5576017     -0.2194714E-01
   0.5644643     -0.2121690E-01
   0.5713443     -0.2046226E-01
   0.5782437     -0.1968499E-01
   0.5851640     -0.1888694E-01
   0.5921059     -0.1807010E-01
   0.5990696     -0.1723653E-01
   0.6060545     -0.1638845E-01
   0.6130595     -0.1552820E-01
   0.6200825     -0.1465793E-01
   0.6271211     -0.1377924E-01
   0.6341728     -0.1289373E-01
   0.6412347     -0.1200306E-01
   0.6483038     -0.1110889E-01
   0.6553770     -0.1021297E-01
   0.6624508     -0.9317047E-02
   0.6695218     -0.8422887E-02
   0.6765865     -0.7532187E-02
   0.6836423     -0.6646543E-02
   0.6906868     -0.5767454E-02
   0.6977186     -0.4896326E-02
   0.7047367     -0.4034468E-02
   0.7117408     -0.3183099E-02
   0.7187310     -0.2343354E-02
   0.7257081     -0.1516360E-02
   0.7326727     -0.7032909E-03
   0.7396251      0.9466965E-04
   0.7465656      0.8763347E-03
   0.7534945      0.1640514E-02
   0.7604116      0.2386016E-02
   0.7673169      0.3111652E-02
   0.7742101      0.3816153E-02
   0.7810906      0.4498096E-02
   0.7879581      0.5156056E-02
   0.7948120      0.5788626E-02
   0.8016516      0.6394426E-02
   0.8084762      0.6972101E-02
   0.8152850      0.7520322E-02
   0.8220774      0.8037640E-02
   0.8288522      0.8522280E-02
   0.8356088      0.8972471E-02
   0.8423462      0.9386491E-02
   0.8490636      0.9762675E-02
   0.8557603      0.1009941E-01
   0.8624356      0.1039513E-01
   0.8690884      0.1064799E-01
   0.8757172      0.1085587E-01
   0.8823199      0.1101672E-01
   0.8888935      0.1112860E-01
   0.8954347      0.1118968E-01
   0.9019397      0.1119832E-01
   0.9084039      0.1115208E-01
   0.9148208      0.1104735E-01
   0.9211817      0.1088081E-01
   0.9274767      0.1064979E-01
   0.9336946      0.1035232E-01
   0.9398234      0.9986725E-02
   0.9458488      0.9548406E-02
   0.9517543      0.9032520E-02
   0.9575224      0.8436221E-02
   0.9631365      0.7758730E-02
   0.9685811      0.7000710E-02
   0.9738391      0.6162280E-02
   0.9788933      0.5245601E-02
   0.9837295      0.4255513E-02
   0.9883361      0.3199956E-02
   0.9926884      0.2096625E-02
   0.9967452      0.9718637E-03
    1.000000     -0.2371692E-19
