AG47ct  -02f rot.
   0.1288760E-01 -0.7686276E-02
   0.1578149E-01 -0.8306676E-02
   0.1927819E-01 -0.8942113E-02
   0.2341347E-01 -0.9575494E-02
   0.2811874E-01 -0.1018553E-01
   0.3324536E-01 -0.1074198E-01
   0.3866515E-01 -0.1123233E-01
   0.4430492E-01 -0.1165608E-01
   0.5010196E-01 -0.1201902E-01
   0.5600807E-01 -0.1232709E-01
   0.6198813E-01 -0.1258774E-01
   0.6802070E-01 -0.1280617E-01
   0.7409391E-01 -0.1298681E-01
   0.8020252E-01 -0.1313410E-01
   0.8634160E-01 -0.1325231E-01
   0.9250572E-01 -0.1334512E-01
   0.9869102E-01 -0.1341560E-01
   0.1048955     -0.1346668E-01
   0.1111164     -0.1350095E-01
   0.1173499     -0.1352068E-01
   0.1235925     -0.1352727E-01
   0.1298435     -0.1352199E-01
   0.1361023     -0.1350606E-01
   0.1423670     -0.1348063E-01
   0.1486354     -0.1344634E-01
   0.1549083     -0.1340366E-01
   0.1611876     -0.1335348E-01
   0.1674727     -0.1329699E-01
   0.1737608     -0.1323488E-01
   0.1800495     -0.1316726E-01
   0.1863386     -0.1309427E-01
   0.1926300     -0.1301608E-01
   0.1989277     -0.1293312E-01
   0.2052324     -0.1284668E-01
   0.2115374     -0.1275793E-01
   0.2178367     -0.1266617E-01
   0.2241349     -0.1257014E-01
   0.2304404     -0.1247044E-01
   0.2367518     -0.1236882E-01
   0.2430603     -0.1226560E-01
   0.2493647     -0.1215964E-01
   0.2556725     -0.1205062E-01
   0.2619872     -0.1193987E-01
   0.2683031     -0.1182840E-01
   0.2746155     -0.1171569E-01
   0.2809272     -0.1160107E-01
   0.2872422     -0.1148495E-01
   0.2935592     -0.1136806E-01
   0.2998739     -0.1125027E-01
   0.3061866     -0.1113104E-01
   0.3125008     -0.1101060E-01
   0.3188170     -0.1089004E-01
   0.3251322     -0.1076968E-01
   0.3314454     -0.1064853E-01
   0.3377590     -0.1052599E-01
   0.3440751     -0.1040287E-01
   0.3503918     -0.1027998E-01
   0.3567070     -0.1015683E-01
   0.3630213     -0.1003260E-01
   0.3693368     -0.9907582E-02
