S1221  w/ 4 deg flap
   0.3744929E-02 -0.8342064E-02
   0.4561260E-02 -0.8897625E-02
   0.5461276E-02 -0.9408197E-02
   0.6440339E-02 -0.9882041E-02
   0.7491283E-02 -0.1032925E-01
   0.8602990E-02 -0.1076250E-01
   0.9764258E-02 -0.1119340E-01
   0.1097609E-01 -0.1162314E-01
   0.1224236E-01 -0.1205090E-01
   0.1356751E-01 -0.1247591E-01
   0.1495688E-01 -0.1289751E-01
   0.1641709E-01 -0.1331529E-01
   0.1795676E-01 -0.1372921E-01
   0.1958680E-01 -0.1413975E-01
   0.2131779E-01 -0.1454738E-01
   0.2316104E-01 -0.1495271E-01
   0.2512929E-01 -0.1535657E-01
   0.2723652E-01 -0.1576013E-01
   0.2949743E-01 -0.1616501E-01
   0.3192636E-01 -0.1657335E-01
   0.3453890E-01 -0.1698586E-01
   0.3735338E-01 -0.1740142E-01
   0.4038867E-01 -0.1781861E-01
   0.4366271E-01 -0.1823578E-01
   0.4719318E-01 -0.1865146E-01
   0.5100050E-01 -0.1906400E-01
   0.5510475E-01 -0.1947026E-01
   0.5952131E-01 -0.1986641E-01
   0.6425798E-01 -0.2024830E-01
   0.6931412E-01 -0.2061159E-01
   0.7467996E-01 -0.2095044E-01
   0.8033496E-01 -0.2125889E-01
   0.8625219E-01 -0.2153206E-01
   0.9240580E-01 -0.2176631E-01
   0.9876866E-01 -0.2195845E-01
   0.1053090     -0.2210635E-01
   0.1119935     -0.2220922E-01
   0.1187908     -0.2226605E-01
   0.1256734     -0.2227551E-01
   0.1326195     -0.2223695E-01
   0.1396147     -0.2215020E-01
   0.1466478     -0.2201507E-01
   0.1537022     -0.2183172E-01
   0.1607553     -0.2160097E-01
   0.1677793     -0.2132334E-01
   0.1747519     -0.2099439E-01
   0.1816678     -0.2060795E-01
   0.1885389     -0.2015713E-01
   0.1953919     -0.1963443E-01
   0.2022621     -0.1903851E-01
   0.2091803     -0.1837132E-01
   0.2161708     -0.1763458E-01
   0.2232520     -0.1683031E-01
   0.2304350     -0.1596181E-01
   0.2377266     -0.1503455E-01
   0.2451276     -0.1405546E-01
   0.2526325     -0.1303323E-01
   0.2602277     -0.1197808E-01
   0.2678939     -0.1089682E-01
   0.2756138     -0.9793726E-02
   0.2833747     -0.8672577E-02
   0.2911690     -0.7536548E-02
   0.2989946     -0.6388047E-02
   0.3068502     -0.5229113E-02
   0.3147322     -0.4062158E-02
   0.3226338     -0.2890071E-02
   0.3305455     -0.1716219E-02
   0.3384556     -0.5442194E-03
   0.3463543      0.6227565E-03
   0.3542359      0.1782191E-02
   0.3620989      0.2932211E-02
   0.3699458      0.4071556E-02
   0.3777822      0.5199915E-02
   0.3856134      0.6317837E-02
   0.3934419      0.7425602E-02
   0.4012677      0.8523119E-02
   0.4090882      0.9609943E-02
   0.4168985      0.1068513E-01
   0.4246938      0.1174684E-01
   0.4324712      0.1279332E-01
   0.4402302      0.1382315E-01
   0.4479726      0.1483524E-01
   0.4557022      0.1582878E-01
   0.4634243      0.1680372E-01
   0.4711430      0.1776054E-01
   0.4788607      0.1869949E-01
   0.4865777      0.1962056E-01
   0.4942928      0.2052356E-01
   0.5020029      0.2140803E-01
   0.5097046      0.2227303E-01
   0.5173958      0.2311758E-01
   0.5250766      0.2394094E-01
   0.5327484      0.2474255E-01
   0.5404147      0.2552202E-01
   0.5480805      0.2627924E-01
   0.5557501      0.2701459E-01
   0.5634249      0.2772832E-01
   0.5711039      0.2842041E-01
   0.5787828      0.2909059E-01
   0.5864550      0.2973843E-01
   0.5941115      0.3036287E-01
   0.6017472      0.3096208E-01
   0.6093638      0.3153468E-01
   0.6169694      0.3207973E-01
