AG46ct  -02f rot.
    1.000000      0.3965002E-03
   0.9968559      0.6747588E-03
   0.9923618      0.1072384E-02
   0.9869692      0.1548561E-02
   0.9811457      0.2059473E-02
   0.9751467      0.2580523E-02
   0.9689794      0.3111067E-02
   0.9627026      0.3646339E-02
   0.9563963      0.4179436E-02
   0.9500906      0.4707701E-02
   0.9437802      0.5231496E-02
   0.9374624      0.5750972E-02
   0.9311405      0.6265989E-02
   0.9248186      0.6776518E-02
   0.9184990      0.7282217E-02
   0.9121810      0.7782508E-02
   0.9058609      0.8277489E-02
   0.8995367      0.8768023E-02
   0.8932104      0.9254549E-02
   0.8868849      0.9736711E-02
   0.8805618      0.1021410E-01
   0.8742406      0.1068632E-01
   0.8679191      0.1115315E-01
   0.8615942      0.1161512E-01
   0.8552659      0.1207296E-01
   0.8489368      0.1252676E-01
   0.8426088      0.1297620E-01
   0.8362827      0.1342098E-01
   0.8299576      0.1386079E-01
   0.8236315      0.1429559E-01
   0.8173032      0.1472581E-01
   0.8109734      0.1515176E-01
   0.8046439      0.1557329E-01
   0.7983144      0.1599029E-01
   0.7919844      0.1640281E-01
   0.7856538      0.1681094E-01
   0.7793232      0.1721463E-01
   0.7729929      0.1761375E-01
   0.7666628      0.1800825E-01
   0.7603326      0.1839810E-01
   0.7540017      0.1878340E-01
   0.7476704      0.1916442E-01
   0.7413400      0.1954135E-01
   0.7350159      0.1991388E-01
   0.7287095      0.2028111E-01
   0.7224404      0.2064046E-01
   0.7162387      0.2098908E-01
   0.7101790      0.2133013E-01
   0.7044328      0.2165102E-01
   0.6990662      0.2204305E-01
   0.6933157      0.2255531E-01
   0.6872533      0.2308873E-01
   0.6810603      0.2363725E-01
   0.6748195      0.2418424E-01
   0.6685392      0.2472741E-01
   0.6622292      0.2526860E-01
   0.6559092      0.2580741E-01
   0.6495884      0.2634256E-01
   0.6432679      0.2687326E-01
   0.6369468      0.2739937E-01
   0.6306237      0.2792112E-01
   0.6242984      0.2843887E-01
   0.6179723      0.2895281E-01
   0.6116473      0.2946267E-01
   0.6053220      0.2996824E-01
   0.5989949      0.3046983E-01
   0.5926669      0.3096764E-01
   0.5863409      0.3146140E-01
   0.5800168      0.3195054E-01
   0.5736905      0.3243513E-01
   0.5673603      0.3291600E-01
   0.5610306      0.3339337E-01
   0.5547036      0.3386634E-01
   0.5483733      0.3433514E-01
   0.5420419      0.3480097E-01
   0.5357156      0.3526223E-01
   0.5293883      0.3571868E-01
   0.5230562      0.3617153E-01
   0.5167229      0.3662104E-01
   0.5103926      0.3706659E-01
   0.5040666      0.3750760E-01
   0.4977459      0.3794315E-01
   0.4914326      0.3837209E-01
   0.4851274      0.3879295E-01
   0.4788275      0.3920451E-01
   0.4725280      0.3960675E-01
   0.4662263      0.4000007E-01
   0.4599223      0.4038473E-01
   0.4536184      0.4076085E-01
   0.4473176      0.4112802E-01
   0.4410203      0.4148538E-01
   0.4347230      0.4183258E-01
   0.4284233      0.4217013E-01
   0.4221234      0.4249825E-01
   0.4158264      0.4281633E-01
   0.4095311      0.4312381E-01
   0.4032348      0.4342078E-01
   0.3969381      0.4370747E-01
   0.3906437      0.4398351E-01
   0.3843519      0.4424823E-01
   0.3780602      0.4450143E-01
   0.3717673      0.4474339E-01
   0.3654749      0.4497414E-01
   0.3591847      0.4519321E-01
   0.3528966      0.4540022E-01
   0.3466101      0.4559486E-01
   0.3403256      0.4577683E-01
   0.3340440      0.4594568E-01
   0.3277643      0.4610093E-01
   0.3214845      0.4624246E-01
   0.3152050      0.4637043E-01
   0.3089284      0.4648456E-01
   0.3026566      0.4658403E-01
   0.2963894      0.4666809E-01
   0.2901255      0.4673616E-01
   0.2838625      0.4678783E-01
   0.2775993      0.4682318E-01
   0.2713377      0.4684238E-01
   0.2650812      0.4684481E-01
   0.2588307      0.4682948E-01
   0.2525854      0.4679561E-01
   0.2463433      0.4674261E-01
   0.2401031      0.4667009E-01
   0.2338654      0.4657795E-01
   0.2276335      0.4646588E-01
   0.2214097      0.4633276E-01
   0.2151924      0.4617737E-01
   0.2089794      0.4599914E-01
   0.2027707      0.4579773E-01
   0.1965682      0.4557251E-01
   0.1903737      0.4532271E-01
   0.1841884      0.4504736E-01
   0.1780126      0.4474523E-01
   0.1718457      0.4441518E-01
   0.1656879      0.4405629E-01
   0.1595410      0.4366764E-01
   0.1534066      0.4324794E-01
   0.1472849      0.4279579E-01
   0.1411765      0.4230984E-01
   0.1350844      0.4178894E-01
   0.1290124      0.4123138E-01
   0.1229618      0.4063480E-01
   0.1169313      0.3999695E-01
   0.1109235      0.3931628E-01
   0.1049450      0.3859114E-01
   0.9900237E-01  0.3781864E-01
   0.9309950E-01  0.3699550E-01
   0.8723970E-01  0.3611818E-01
   0.8142781E-01  0.3518336E-01
   0.7567171E-01  0.3418739E-01
   0.6998346E-01  0.3312734E-01
   0.6437722E-01  0.3199921E-01
   0.5886318E-01  0.3079744E-01
   0.5344881E-01  0.2951653E-01
   0.4814966E-01  0.2815354E-01
   0.4299153E-01  0.2670887E-01
   0.3800751E-01  0.2518334E-01
   0.3323132E-01  0.2358172E-01
   0.2870697E-01  0.2191412E-01
   0.2449123E-01  0.2020327E-01
   0.2064146E-01  0.1847898E-01
   0.1721125E-01  0.1677865E-01
   0.1421962E-01  0.1513864E-01
   0.1166267E-01  0.1358644E-01
   0.9507911E-02  0.1214120E-01
   0.7704092E-02  0.1080546E-01
   0.6198016E-02  0.9573315E-02
   0.4937811E-02  0.8434965E-02
   0.3882462E-02  0.7377764E-02
   0.2997182E-02  0.6390465E-02
   0.2256055E-02  0.5462487E-02
   0.1639729E-02  0.4584052E-02
   0.1132557E-02  0.3747421E-02
   0.7260470E-03  0.2946827E-02
   0.4126847E-03  0.2177954E-02
   0.1885307E-03  0.1438877E-02
   0.5091082E-04  0.7275272E-03
   0.1714461E-06  0.4103282E-04
   0.4325451E-04 -0.6325521E-03
   0.1942412E-03 -0.1308046E-02
   0.4748407E-03 -0.1980308E-02
   0.8944348E-03 -0.2629475E-02
   0.1444796E-02 -0.3238149E-02
   0.2122579E-02 -0.3804984E-02
   0.2927221E-02 -0.4346837E-02
   0.3857506E-02 -0.4879530E-02
   0.4930375E-02 -0.5409169E-02
   0.6170681E-02 -0.5945458E-02
   0.7618314E-02 -0.6496221E-02
   0.9326749E-02 -0.7070534E-02
   0.1136282E-01 -0.7676266E-02
   0.1380661E-01 -0.8314361E-02
   0.1674636E-01 -0.8985512E-02
   0.2026437E-01 -0.9681095E-02
   0.2437872E-01 -0.1038555E-01
   0.2903371E-01 -0.1107337E-01
   0.3410437E-01 -0.1171647E-01
   0.3948244E-01 -0.1230126E-01
   0.4508135E-01 -0.1282183E-01
   0.5083464E-01 -0.1327953E-01
   0.5669747E-01 -0.1367747E-01
   0.6264156E-01 -0.1402140E-01
   0.6865068E-01 -0.1431673E-01
   0.7471350E-01 -0.1456923E-01
   0.8082076E-01 -0.1478389E-01
   0.8696136E-01 -0.1496541E-01
   0.9312507E-01 -0.1511666E-01
   0.9930818E-01 -0.1523973E-01
   0.1055119     -0.1533719E-01
   0.1117342     -0.1541193E-01
   0.1179691     -0.1546603E-01
   0.1242134     -0.1550055E-01
   0.1304686     -0.1551681E-01
   0.1367364     -0.1551665E-01
   0.1430153     -0.1550189E-01
   0.1493026     -0.1547380E-01
   0.1555969     -0.1543354E-01
   0.1618979     -0.1538210E-01
   0.1682055     -0.1532042E-01
   0.1745197     -0.1524946E-01
   0.1808392     -0.1517020E-01
   0.1871618     -0.1508332E-01
   0.1934874     -0.1498909E-01
   0.1998175     -0.1488801E-01
   0.2061527     -0.1478094E-01
   0.2124917     -0.1466863E-01
   0.2188332     -0.1455149E-01
   0.2251780     -0.1442986E-01
   0.2315269     -0.1430436E-01
   0.2378795     -0.1417565E-01
   0.2442351     -0.1404423E-01
   0.2505939     -0.1391052E-01
   0.2569569     -0.1377509E-01
   0.2633227     -0.1363867E-01
   0.2696882     -0.1350152E-01
   0.2760523     -0.1336330E-01
   0.2824165     -0.1322381E-01
   0.2887826     -0.1308329E-01
   0.2951507     -0.1294203E-01
   0.3015202     -0.1280031E-01
   0.3078899     -0.1265836E-01
   0.3142590     -0.1251612E-01
   0.3206280     -0.1237344E-01
   0.3269975     -0.1223042E-01
   0.3333677     -0.1208730E-01
   0.3397377     -0.1194410E-01
   0.3461055     -0.1180063E-01
   0.3524693     -0.1165720E-01
   0.3588297     -0.1151502E-01
   0.3651913     -0.1137475E-01
   0.3715574     -0.1123559E-01
   0.3779265     -0.1109659E-01
   0.3842946     -0.1095731E-01
   0.3906588     -0.1081751E-01
   0.3970185     -0.1067803E-01
   0.4033764     -0.1054034E-01
   0.4097368     -0.1040440E-01
   0.4161001     -0.1026875E-01
   0.4224617     -0.1013299E-01
   0.4288195     -0.9998556E-02
   0.4351776     -0.9866358E-02
   0.4415399     -0.9735178E-02
   0.4479057     -0.9603679E-02
   0.4542717     -0.9472108E-02
   0.4606368     -0.9341208E-02
   0.4670015     -0.9210711E-02
   0.4733665     -0.9079677E-02
   0.4797323     -0.8947639E-02
   0.4860985     -0.8814714E-02
   0.4924641     -0.8681303E-02
   0.4988289     -0.8548266E-02
   0.5051939     -0.8416174E-02
   0.5115604     -0.8284428E-02
   0.5179279     -0.8152274E-02
   0.5242958     -0.8019540E-02
   0.5306632     -0.7886312E-02
   0.5370294     -0.7753075E-02
   0.5433932     -0.7620546E-02
   0.5497541     -0.7487774E-02
   0.5561162     -0.7353461E-02
   0.5624810     -0.7219246E-02
   0.5688461     -0.7085901E-02
   0.5752103     -0.6953209E-02
   0.5815731     -0.6820147E-02
   0.5879342     -0.6686100E-02
   0.5942942     -0.6552362E-02
   0.6006559     -0.6419960E-02
   0.6070202     -0.6287131E-02
   0.6133854     -0.6153465E-02
   0.6197505     -0.6019666E-02
   0.6261156     -0.5886540E-02
   0.6324812     -0.5753900E-02
   0.6388466     -0.5620944E-02
   0.6452106     -0.5487973E-02
   0.6515734     -0.5355906E-02
   0.6579358     -0.5223529E-02
   0.6642974     -0.5090993E-02
   0.6706589     -0.4959526E-02
   0.6770203     -0.4828143E-02
   0.6833799     -0.4696057E-02
   0.6897343     -0.4564382E-02
   0.6960775     -0.4434558E-02
   0.7023938     -0.4308719E-02
   0.7087110     -0.4176713E-02
   0.7150563     -0.4047365E-02
   0.7214147     -0.3919314E-02
   0.7277784     -0.3790677E-02
   0.7341429     -0.3661328E-02
   0.7405054     -0.3531701E-02
   0.7468656     -0.3403069E-02
   0.7532263     -0.3276153E-02
   0.7595898     -0.3149858E-02
   0.7659556     -0.3023066E-02
   0.7723219     -0.2896129E-02
   0.7786882     -0.2769799E-02
   0.7850554     -0.2644234E-02
   0.7914233     -0.2519279E-02
   0.7977913     -0.2394848E-02
   0.8041589     -0.2270911E-02
   0.8105255     -0.2147620E-02
   0.8168881     -0.2025438E-02
   0.8232419     -0.1905265E-02
   0.8295872     -0.1788793E-02
   0.8359340     -0.1677038E-02
   0.8422893     -0.1568505E-02
   0.8486455     -0.1461681E-02
   0.8549920     -0.1357868E-02
   0.8613330     -0.1259118E-02
   0.8676813     -0.1164888E-02
   0.8740352     -0.1073134E-02
   0.8803806     -0.9842225E-03
   0.8867131     -0.9009965E-03
   0.8930440     -0.8247866E-03
   0.8993823     -0.7541870E-03
   0.9057265     -0.6879479E-03
   0.9120701     -0.6259857E-03
   0.9184089     -0.5685498E-03
   0.9247414     -0.5166291E-03
   0.9310690     -0.4713976E-03
   0.9373947     -0.4332781E-03
   0.9437205     -0.4022244E-03
   0.9500466     -0.3776320E-03
   0.9563705     -0.3583326E-03
   0.9626828     -0.3446323E-03
   0.9689501     -0.3393966E-03
   0.9751139     -0.3434312E-03
   0.9811312     -0.3513153E-03
   0.9869767     -0.3584391E-03
   0.9923645     -0.3679705E-03
   0.9968502     -0.3821834E-03
    1.000000     -0.3965002E-03
