GOE 174 (ALBATROS 5020) AIRFOIL
   0.9999961      0.1449237E-02
   0.9969299      0.2379860E-02
   0.9932338      0.3479119E-02
   0.9893508      0.4607552E-02
   0.9852636      0.5766227E-02
   0.9809537      0.6955885E-02
   0.9764015      0.8176712E-02
   0.9715877      0.9428038E-02
   0.9664941      0.1070790E-01
   0.9611065      0.1201248E-01
   0.9554178      0.1333547E-01
   0.9494325      0.1466739E-01
   0.9431716      0.1599690E-01
   0.9366726      0.1731631E-01
   0.9299835      0.1861996E-01
   0.9231563      0.1990441E-01
   0.9162406      0.2116913E-01
   0.9092779      0.2241684E-01
   0.9022970      0.2365342E-01
   0.8953121      0.2488722E-01
   0.8883251      0.2612246E-01
   0.8813347      0.2735957E-01
   0.8743403      0.2859879E-01
   0.8673414      0.2984034E-01
   0.8603380      0.3108434E-01
   0.8533302      0.3233088E-01
   0.8463189      0.3357997E-01
   0.8393049      0.3483154E-01
   0.8322898      0.3608548E-01
   0.8252754      0.3734160E-01
   0.8182636      0.3859962E-01
   0.8112572      0.3985922E-01
   0.8042588      0.4112001E-01
   0.7972717      0.4238151E-01
   0.7902990      0.4364231E-01
   0.7833436      0.4489974E-01
   0.7764073      0.4615117E-01
   0.7694913      0.4739414E-01
   0.7625964      0.4862637E-01
   0.7557225      0.4984570E-01
   0.7488691      0.5105015E-01
   0.7420349      0.5223787E-01
   0.7352182      0.5340712E-01
   0.7284168      0.5455631E-01
   0.7216280      0.5568390E-01
   0.7148485      0.5678847E-01
   0.7080745      0.5786864E-01
   0.7013019      0.5892309E-01
   0.6945259      0.5995081E-01
   0.6877419      0.6095336E-01
   0.6809463      0.6193352E-01
   0.6741357      0.6289397E-01
   0.6673075      0.6383728E-01
   0.6604597      0.6476592E-01
   0.6535909      0.6568232E-01
   0.6467002      0.6658882E-01
   0.6397876      0.6748774E-01
   0.6328536      0.6838131E-01
   0.6258994      0.6927174E-01
   0.6189271      0.7016119E-01
   0.6119395      0.7105174E-01
   0.6049403      0.7194542E-01
   0.5979337      0.7284416E-01
   0.5909247      0.7374840E-01
   0.5839177      0.7465560E-01
   0.5769165      0.7556295E-01
   0.5699244      0.7646769E-01
   0.5629440      0.7736717E-01
   0.5559775      0.7825884E-01
   0.5490265      0.7914025E-01
   0.5420920      0.8000907E-01
   0.5351745      0.8086308E-01
   0.5282740      0.8170014E-01
   0.5213899      0.8251823E-01
   0.5145213      0.8331540E-01
   0.5076668      0.8408979E-01
   0.5008245      0.8483959E-01
   0.4939921      0.8556322E-01
   0.4871674      0.8626028E-01
   0.4803485      0.8693084E-01
   0.4735337      0.8757495E-01
   0.4667213      0.8819261E-01
   0.4599102      0.8878378E-01
   0.4530991      0.8934837E-01
   0.4462869      0.8988626E-01
   0.4394729      0.9039733E-01
