E224  (10.17%)
    1.000000     -0.1524659E-18
   0.9966812      0.4750054E-03
   0.9922521      0.1165266E-02
   0.9872048      0.2006006E-02
   0.9816597      0.2960564E-02
   0.9757643      0.3989449E-02
   0.9696722      0.5050252E-02
   0.9634755      0.6113954E-02
   0.9572226      0.7168979E-02
   0.9509390      0.8208915E-02
   0.9446263      0.9232508E-02
   0.9382767      0.1024432E-01
   0.9318876      0.1124919E-01
   0.9254636      0.1225098E-01
   0.9190168      0.1325176E-01
   0.9125609      0.1424980E-01
   0.9061061      0.1524302E-01
   0.8996579      0.1623003E-01
   0.8932175      0.1721012E-01
   0.8867822      0.1818334E-01
   0.8803486      0.1915011E-01
   0.8739143      0.2011074E-01
   0.8674778      0.2106538E-01
   0.8610384      0.2201405E-01
   0.8545966      0.2295663E-01
   0.8481532      0.2389293E-01
   0.8417089      0.2482280E-01
   0.8352642      0.2574609E-01
   0.8288197      0.2666271E-01
   0.8223755      0.2757256E-01
   0.8159316      0.2847558E-01
   0.8094882      0.2937162E-01
   0.8030451      0.3026052E-01
   0.7966023      0.3114213E-01
   0.7901596      0.3201630E-01
   0.7837169      0.3288288E-01
   0.7772742      0.3374173E-01
   0.7708311      0.3459275E-01
   0.7643876      0.3543588E-01
   0.7579437      0.3627106E-01
   0.7514992      0.3709824E-01
   0.7450542      0.3791734E-01
   0.7386087      0.3872830E-01
   0.7321627      0.3953102E-01
   0.7257163      0.4032540E-01
   0.7192696      0.4111129E-01
   0.7128227      0.4188853E-01
   0.7063758      0.4265698E-01
   0.6999289      0.4341648E-01
   0.6934823      0.4416689E-01
   0.6870361      0.4490804E-01
   0.6805905      0.4563976E-01
   0.6741456      0.4636184E-01
   0.6677014      0.4707410E-01
   0.6612577      0.4777634E-01
   0.6548145      0.4846840E-01
   0.6483715      0.4915010E-01
   0.6419282      0.4982129E-01
   0.6354842      0.5048186E-01
   0.6290390      0.5113180E-01
   0.6225925      0.5177116E-01
   0.6161445      0.5239995E-01
   0.6096952      0.5301817E-01
   0.6032447      0.5362581E-01
   0.5967935      0.5422283E-01
   0.5903422      0.5480920E-01
   0.5838916      0.5538474E-01
   0.5774423      0.5594910E-01
   0.5709946      0.5650192E-01
   0.5645488      0.5704286E-01
   0.5581049      0.5757159E-01
   0.5516626      0.5808782E-01
   0.5452214      0.5859126E-01
   0.5387806      0.5908165E-01
   0.5323396      0.5955889E-01
   0.5258976      0.6002304E-01
   0.5194542      0.6047414E-01
   0.5130094      0.6091222E-01
   0.5065632      0.6133730E-01
   0.5001159      0.6174936E-01
   0.4936681      0.6214839E-01
   0.4872207      0.6253435E-01
   0.4807746      0.6290693E-01
   0.4743303      0.6326571E-01
   0.4678885      0.6361029E-01
   0.4614494      0.6394027E-01
   0.4550128      0.6425528E-01
   0.4485786      0.6455495E-01
   0.4421463      0.6483891E-01
   0.4357151      0.6510688E-01
   0.4292843      0.6535873E-01
   0.4228534      0.6559444E-01
   0.4164221      0.6581394E-01
   0.4099904      0.6601716E-01
   0.4035585      0.6620402E-01
   0.3971269      0.6637445E-01
   0.3906961      0.6652836E-01
   0.3842672      0.6666553E-01
   0.3778408      0.6678550E-01
   0.3714177      0.6688779E-01
   0.3649982      0.6697193E-01
   0.3585825      0.6703747E-01
   0.3521706      0.6708396E-01
   0.3457623      0.6711093E-01
   0.3393572      0.6711794E-01
   0.3329548      0.6710467E-01
   0.3265548      0.6707079E-01
   0.3201572      0.6701601E-01
   0.3137621      0.6694001E-01
   0.3073695      0.6684249E-01
   0.3009801      0.6672316E-01
   0.2945943      0.6658172E-01
   0.2882128      0.6641771E-01
   0.2818364      0.6623054E-01
   0.2754655      0.6601963E-01
   0.2691005      0.6578441E-01
   0.2627415      0.6552430E-01
   0.2563888      0.6523872E-01
   0.2500422      0.6492708E-01
   0.2437018      0.6458875E-01
   0.2373676      0.6422308E-01
   0.2310401      0.6382945E-01
   0.2247197      0.6340723E-01
   0.2184072      0.6295584E-01
   0.2121034      0.6247470E-01
   0.2058094      0.6196317E-01
   0.1995264      0.6142025E-01
   0.1932553      0.6084488E-01
   0.1869970      0.6023604E-01
   0.1807521      0.5959269E-01
   0.1745211      0.5891381E-01
   0.1683045      0.5819831E-01
   0.1621029      0.5744488E-01
   0.1559174      0.5665220E-01
   0.1497494      0.5581905E-01
   0.1436010      0.5494431E-01
   0.1374742      0.5402697E-01
   0.1313718      0.5306577E-01
   0.1252966      0.5205873E-01
   0.1192514      0.5100388E-01
   0.1132384      0.4989929E-01
   0.1072597      0.4874311E-01
   0.1013174      0.4753335E-01
   0.9541482E-01  0.4626736E-01
   0.8955726E-01  0.4494285E-01
   0.8375171E-01  0.4355827E-01
   0.7800656E-01  0.4211282E-01
   0.7233198E-01  0.4060534E-01
   0.6674066E-01  0.3903289E-01
   0.6124638E-01  0.3739353E-01
   0.5586320E-01  0.3568687E-01
   0.5060561E-01  0.3391373E-01
   0.4549635E-01  0.3207655E-01
   0.4056919E-01  0.3018385E-01
   0.3586143E-01  0.2825036E-01
   0.3140860E-01  0.2629330E-01
   0.2726291E-01  0.2432989E-01
   0.2348749E-01  0.2239213E-01
   0.2011779E-01  0.2051581E-01
   0.1714956E-01  0.1872695E-01
   0.1455903E-01  0.1704367E-01
   0.1230996E-01  0.1547462E-01
   0.1035785E-01  0.1401856E-01
   0.8657703E-02  0.1266812E-01
   0.7170596E-02  0.1141088E-01
   0.5876049E-02  0.1022508E-01
   0.4760896E-02  0.9098040E-02
   0.3808396E-02  0.8024519E-02
   0.2998548E-02  0.7001175E-02
   0.2310717E-02  0.6024663E-02
   0.1725745E-02  0.5091341E-02
   0.1230307E-02  0.4199858E-02
   0.8227644E-03  0.3354075E-02
   0.5002082E-03  0.2552855E-02
   0.2589615E-03  0.1791994E-02
   0.9652415E-04  0.1066539E-02
   0.1235354E-04  0.3715871E-03
   0.8371443E-05 -0.2975126E-03
   0.8963529E-04 -0.9452505E-03
   0.2618835E-03 -0.1577067E-02
   0.5238713E-03 -0.2201008E-02
   0.8760286E-03 -0.2824994E-02
   0.1322550E-02 -0.3456955E-02
   0.1871602E-02 -0.4105636E-02
   0.2535849E-02 -0.4781446E-02
   0.3332659E-02 -0.5497289E-02
   0.4281055E-02 -0.6268293E-02
   0.5397943E-02 -0.7107380E-02
   0.6723077E-02 -0.8022243E-02
   0.8301205E-02 -0.9011140E-02
   0.1014575E-01 -0.1005029E-01
   0.1221544E-01 -0.1109830E-01
   0.1445442E-01 -0.1213180E-01
   0.1687493E-01 -0.1316837E-01
   0.1954180E-01 -0.1422901E-01
   0.2254274E-01 -0.1533441E-01
   0.2601385E-01 -0.1651364E-01
   0.3010301E-01 -0.1778814E-01
   0.3481295E-01 -0.1912572E-01
   0.3997008E-01 -0.2045116E-01
   0.4531072E-01 -0.2169434E-01
   0.5068582E-01 -0.2283722E-01
   0.5612067E-01 -0.2389984E-01
   0.6167081E-01 -0.2489849E-01
   0.6736987E-01 -0.2584281E-01
   0.7322145E-01 -0.2673705E-01
   0.7919330E-01 -0.2757988E-01
   0.8524184E-01 -0.2836724E-01
   0.9133213E-01 -0.2909782E-01
   0.9744239E-01 -0.2977327E-01
   0.1035657     -0.3039753E-01
   0.1097071     -0.3097478E-01
   0.1158730     -0.3150808E-01
   0.1220673     -0.3200016E-01
   0.1282915     -0.3245348E-01
   0.1345444     -0.3287034E-01
   0.1408224     -0.3325269E-01
   0.1471213     -0.3360192E-01
   0.1534376     -0.3391950E-01
   0.1597681     -0.3420699E-01
   0.1661104     -0.3446607E-01
   0.1724626     -0.3469849E-01
   0.1788234     -0.3490556E-01
   0.1851918     -0.3508801E-01
   0.1915673     -0.3524655E-01
   0.1979492     -0.3538193E-01
   0.2043376     -0.3549488E-01
   0.2107324     -0.3558618E-01
   0.2171338     -0.3565659E-01
   0.2235423     -0.3570695E-01
   0.2299579     -0.3573809E-01
   0.2363806     -0.3575086E-01
   0.2428101     -0.3574611E-01
   0.2492459     -0.3572470E-01
   0.2556872     -0.3568749E-01
   0.2621333     -0.3563517E-01
   0.2685832     -0.3556814E-01
   0.2750363     -0.3548680E-01
   0.2814921     -0.3539152E-01
   0.2879503     -0.3528272E-01
   0.2944106     -0.3516077E-01
   0.3008730     -0.3502608E-01
   0.3073377     -0.3487902E-01
   0.3138049     -0.3471997E-01
   0.3202745     -0.3454929E-01
   0.3267468     -0.3436737E-01
   0.3332217     -0.3417456E-01
   0.3396993     -0.3397124E-01
   0.3461795     -0.3375780E-01
   0.3526622     -0.3353459E-01
   0.3591474     -0.3330197E-01
   0.3656349     -0.3306022E-01
   0.3721245     -0.3280966E-01
   0.3786161     -0.3255058E-01
   0.3851096     -0.3228329E-01
   0.3916047     -0.3200810E-01
   0.3981013     -0.3172531E-01
   0.4045993     -0.3143523E-01
   0.4110984     -0.3113807E-01
   0.4175984     -0.3083398E-01
   0.4240994     -0.3052314E-01
   0.4306011     -0.3020570E-01
   0.4371037     -0.2988184E-01
   0.4436072     -0.2955169E-01
   0.4501115     -0.2921544E-01
   0.4566169     -0.2887323E-01
   0.4631235     -0.2852526E-01
   0.4696314     -0.2817174E-01
   0.4761406     -0.2781289E-01
   0.4826513     -0.2744894E-01
   0.4891634     -0.2708009E-01
   0.4956770     -0.2670656E-01
   0.5021920     -0.2632860E-01
   0.5087083     -0.2594640E-01
   0.5152259     -0.2556016E-01
   0.5217446     -0.2517003E-01
   0.5282644     -0.2477617E-01
   0.5347852     -0.2437873E-01
   0.5413068     -0.2397786E-01
   0.5478291     -0.2357373E-01
   0.5543521     -0.2316649E-01
   0.5608757     -0.2275629E-01
   0.5673996     -0.2234327E-01
   0.5739239     -0.2192752E-01
   0.5804486     -0.2150915E-01
   0.5869737     -0.2108824E-01
   0.5934993     -0.2066489E-01
   0.6000255     -0.2023918E-01
   0.6065526     -0.1981120E-01
   0.6130808     -0.1938102E-01
   0.6196104     -0.1894878E-01
   0.6261417     -0.1851466E-01
   0.6326746     -0.1807888E-01
   0.6392094     -0.1764164E-01
   0.6457457     -0.1720316E-01
   0.6522834     -0.1676367E-01
   0.6588222     -0.1632341E-01
   0.6653616     -0.1588262E-01
   0.6719010     -0.1544153E-01
   0.6784401     -0.1500038E-01
   0.6849785     -0.1455938E-01
   0.6915161     -0.1411874E-01
   0.6980526     -0.1367867E-01
   0.7045883     -0.1323936E-01
   0.7111233     -0.1280098E-01
   0.7176579     -0.1236371E-01
   0.7241923     -0.1192762E-01
   0.7307268     -0.1149278E-01
   0.7372614     -0.1105926E-01
   0.7437957     -0.1062713E-01
   0.7503295     -0.1019650E-01
   0.7568622     -0.9767465E-02
   0.7633930     -0.9340146E-02
   0.7699213     -0.8914872E-02
   0.7764463     -0.8492170E-02
   0.7829677     -0.8072563E-02
   0.7894853     -0.7656555E-02
   0.7959993     -0.7244631E-02
   0.8025100     -0.6837263E-02
   0.8090179     -0.6434897E-02
   0.8155237     -0.6037833E-02
   0.8220281     -0.5646246E-02
   0.8285313     -0.5260319E-02
   0.8350334     -0.4880253E-02
   0.8415343     -0.4506257E-02
   0.8480337     -0.4138554E-02
   0.8545311     -0.3777484E-02
   0.8610256     -0.3423721E-02
   0.8675164     -0.3078006E-02
   0.8740024     -0.2741084E-02
   0.8804822     -0.2413700E-02
   0.8869545     -0.2096597E-02
   0.8934176     -0.1790755E-02
   0.8998703     -0.1497618E-02
   0.9063122     -0.1218638E-02
   0.9127432     -0.9552236E-03
   0.9191638     -0.7087443E-03
   0.9255752     -0.4805096E-03
   0.9319771     -0.2717359E-03
   0.9383668     -0.8366789E-04
   0.9447392      0.8243761E-04
   0.9510865      0.2252326E-03
   0.9573964      0.3417196E-03
   0.9636463      0.4279074E-03
   0.9698049      0.4803763E-03
   0.9758312      0.4959312E-03
   0.9816473      0.4702893E-03
   0.9871381      0.4026358E-03
   0.9921865      0.2943339E-03
   0.9966511      0.1479939E-03
    1.000000     -0.1524659E-18
