E203  (13.64%)
   0.5267312E-02 -0.9447464E-02
   0.6343129E-02 -0.1030406E-01
   0.7561188E-02 -0.1116757E-01
   0.8928020E-02 -0.1204239E-01
   0.1044544E-01 -0.1293810E-01
   0.1211135E-01 -0.1387214E-01
   0.1393543E-01 -0.1485714E-01
   0.1594059E-01 -0.1589542E-01
   0.1815276E-01 -0.1698729E-01
   0.2060051E-01 -0.1813058E-01
   0.2331439E-01 -0.1931959E-01
   0.2632811E-01 -0.2054500E-01
   0.2967764E-01 -0.2179943E-01
   0.3339176E-01 -0.2307744E-01
   0.3748412E-01 -0.2437180E-01
   0.4194550E-01 -0.2567512E-01
   0.4674362E-01 -0.2698205E-01
   0.5183607E-01 -0.2827788E-01
   0.5716909E-01 -0.2954210E-01
   0.6268591E-01 -0.3075852E-01
   0.6834506E-01 -0.3191884E-01
   0.7412981E-01 -0.3302185E-01
   0.8003121E-01 -0.3406813E-01
   0.8603846E-01 -0.3505889E-01
   0.9213865E-01 -0.3599608E-01
   0.9831703E-01 -0.3688216E-01
   0.1045593     -0.3771797E-01
   0.1108533     -0.3850405E-01
   0.1171889     -0.3924171E-01
   0.1235591     -0.3993303E-01
   0.1299597     -0.4058054E-01
   0.1363890     -0.4118623E-01
   0.1428453     -0.4175161E-01
   0.1493267     -0.4227825E-01
   0.1558307     -0.4276777E-01
   0.1623547     -0.4322186E-01
   0.1688955     -0.4364189E-01
   0.1754507     -0.4402860E-01
   0.1820180     -0.4438271E-01
   0.1885962     -0.4470504E-01
   0.1951843     -0.4499644E-01
   0.2017823     -0.4525781E-01
   0.2083905     -0.4549008E-01
   0.2150092     -0.4569414E-01
   0.2216383     -0.4587088E-01
   0.2282774     -0.4602119E-01
   0.2349254     -0.4614595E-01
   0.2415807     -0.4624608E-01
   0.2482415     -0.4632236E-01
   0.2549057     -0.4637480E-01
   0.2615711     -0.4640320E-01
   0.2682360     -0.4640738E-01
   0.2748987     -0.4638718E-01
   0.2815575     -0.4634248E-01
   0.2882111     -0.4627315E-01
   0.2948582     -0.4617895E-01
   0.3014980     -0.4605926E-01
   0.3081301     -0.4591342E-01
   0.3147548     -0.4574076E-01
   0.3213726     -0.4554059E-01
   0.3279848     -0.4531219E-01
   0.3345932     -0.4505481E-01
   0.3412000     -0.4476799E-01
   0.3478076     -0.4445231E-01
   0.3544183     -0.4410853E-01
   0.3610344     -0.4373735E-01
   0.3676579     -0.4333949E-01
   0.3742909     -0.4291561E-01
   0.3809352     -0.4246636E-01
   0.3875928     -0.4199246E-01
   0.3942654     -0.4149525E-01
   0.4009542     -0.4097651E-01
   0.4076601     -0.4043804E-01
   0.4143834     -0.3988174E-01
   0.4211239     -0.3930959E-01
   0.4278807     -0.3872364E-01
   0.4346523     -0.3812606E-01
   0.4414366     -0.3751876E-01
   0.4482316     -0.3690281E-01
   0.4550352     -0.3627911E-01
   0.4618458     -0.3564857E-01
   0.4686621     -0.3501205E-01
   0.4754829     -0.3437043E-01
   0.4823076     -0.3372454E-01
   0.4891358     -0.3307519E-01
   0.4959671     -0.3242303E-01
   0.5028016     -0.3176852E-01
   0.5096388     -0.3111212E-01
   0.5164785     -0.3045432E-01
   0.5233203     -0.2979558E-01
   0.5301638     -0.2913640E-01
   0.5370083     -0.2847728E-01
   0.5438533     -0.2781871E-01
   0.5506980     -0.2716109E-01
   0.5575419     -0.2650471E-01
   0.5643844     -0.2584988E-01
   0.5712251     -0.2519686E-01
   0.5780635     -0.2454592E-01
   0.5848995     -0.2389733E-01
   0.5917328     -0.2325135E-01
   0.5985633     -0.2260821E-01
   0.6053909     -0.2196821E-01
   0.6122157     -0.2133167E-01
   0.6190378     -0.2069891E-01
   0.6258572     -0.2007024E-01
   0.6326742     -0.1944596E-01
   0.6394891     -0.1882638E-01
   0.6463020     -0.1821178E-01
   0.6531133     -0.1760245E-01
   0.6599234     -0.1699854E-01
   0.6667324     -0.1640017E-01
   0.6735406     -0.1580749E-01
   0.6803481     -0.1522063E-01
   0.6871547     -0.1463975E-01
   0.6939605     -0.1406499E-01
   0.7007652     -0.1349653E-01
   0.7075686     -0.1293454E-01
   0.7143706     -0.1237930E-01
   0.7211709     -0.1183104E-01
   0.7279695     -0.1129001E-01
   0.7347663     -0.1075646E-01
   0.7415614     -0.1023062E-01
   0.7483550     -0.9712715E-02
   0.7551472     -0.9202970E-02
   0.7619382     -0.8701588E-02
   0.7687281     -0.8208775E-02
   0.7755169     -0.7724747E-02
   0.7823043     -0.7249725E-02
   0.7890901     -0.6783937E-02
   0.7958739     -0.6327619E-02
   0.8026553     -0.5881041E-02
   0.8094336     -0.5444643E-02
   0.8162085     -0.5018915E-02
   0.8229798     -0.4604336E-02
   0.8297474     -0.4201370E-02
   0.8365113     -0.3810474E-02
   0.8432717     -0.3432090E-02
   0.8500290     -0.3066594E-02
   0.8567832     -0.2714279E-02
   0.8635348     -0.2375441E-02
   0.8702837     -0.2050377E-02
   0.8770302     -0.1739385E-02
   0.8837744     -0.1442772E-02
   0.8905159     -0.1160938E-02
   0.8972539     -0.8943794E-03
   0.9039864     -0.6436196E-03
   0.9107107     -0.4091924E-03
   0.9174229     -0.1916410E-03
   0.9241184      0.7989709E-05
   0.9307915      0.1879804E-03
   0.9374353      0.3466350E-03
   0.9440417      0.4823690E-03
   0.9506014      0.5934489E-03
   0.9570945      0.6769088E-03
   0.9634835      0.7298063E-03
   0.9697183      0.7501554E-03
   0.9757409      0.7337736E-03
   0.9814823      0.6728079E-03
   0.9868764      0.5640283E-03
   0.9918731      0.4074082E-03
   0.9964260      0.2052451E-03
    1.000000      0.1778769E-19
